subject,condition,vignetteType,vignetteNumber,answerOrder,vignette,dummyVignetteAnswer,vignetteAnswer,gender,age,postQuestion1,postQuestion2
fwyk35yztc3,L8A,L,8,A,L8,7,4,male,39,correct,"Both not knowing the possibility and knowing it's a 50/50 chance do nothing additional towards letting me know if it's lethal.  Furthermore, even if there was a low probability, it's safest to plan for the worst, so by default I would be planning as if it was a lethal snake regardless.  Thus there's no difference between the two options."
ctn035yz37g,G6A,G,6,A,G6,7,2,male,38,correct,NA
uhrs35yz6h5,L11B,L,11,B,L11,7,2,female,24,correct,NA
16wp35yz564,G12A,G,12,A,G12,1,3,male,23,correct,NA
q8pz35yzch7,L2B,L,2,B,L2,7,5,female,30,correct,"its a hard one to choose from, 50/50 probability is usually the better option to me"
xjk535yzqzt,L12B,L,12,B,L12,7,4,male,75,correct,"Both seemed to be ""iffy"" about whether I would win or not, so they seemed pretty much the same, so I was indifferent."
w1s835yz80j,L11B,L,11,B,L11,6,2,male,47,correct,"A 50/50 shot would make me worry as 100% chance because it is so random.  Not knowing anything would be the preferred situation for me, at least I could put it out of my mind then."
zmtw35yz3te,L3A,L,3,A,L3,1,6,male,50,correct,NA
y9ad35yzt99,G3A,G,3,A,G3,7,4,female,46,correct,"Both options for this question were the same, just phrased differently so I chose ""no preference"""
h7nt35yzr8k,L5A,L,5,A,L5,7,3,female,39,correct,No comments at the current time.
s9jx35yz5px,L9B,L,9,B,L9,7,5,female,58,correct,"50 percent is a decent chance, I didn't want to risk going lower"
fsad35yz65a,G2A,G,2,A,G2,2,4,male,60,correct,NA
3x3o35yz5jb,L11B,L,11,B,L11,7,7,male,35,correct,I prefer the 50/50 option because it is more fair and equal. The other option could be skewed one way or another. This way 50 percent chance doesn't look so bad and is more based on luck.
wgdb35yz9gq,L12B,L,12,B,L12,7,5,female,45,correct,I would rather want to know that I have a 50/50 chance then not knowing what my chance is at all. I chose this answer because it gave my percent chance of winning or losing.
3oi635yz9t5,G10B,G,10,B,G10,7,6,female,43,correct,"Honestly, it seemed that the changes would be fifty fifty for ME either way, as I did not know the probability in the first scenario. But the second seemed rather neater."
bh1p35yz3fk,L2B,L,2,B,L2,7,5,male,19,correct,I just used my best judgement of what I would've liked to do during that situation.
59vz35yztac,L6A,L,6,A,L6,6,2,female,25,incorrect,NA
ifc935yzqqy,G12B,G,12,B,G12,7,6,male,34,correct,NA
im8p35yz0v8,G5A,G,5,A,G5,7,6,male,36,correct,NA
mmph35yz2c3,L3B,L,3,B,L3,7,3,male,38,correct,I don't know the odds so my department could only have a 1% chance of being chosen.
cowf35yzrlr,L3B,L,3,B,L3,7,6,female,31,correct,NA
3pow35yztgy,L2A,L,2,A,L2,7,4,male,30,correct,NA
88qa35yzoe9,L8A,L,8,A,L8,7,7,male,27,correct,NA
9qil35yzg1r,L5A,L,5,A,L5,7,1,female,27,correct,"least risk to my stocks was wanted, so i picked the one that was a bit safer in my opinion"
w8gk35yzto7,G1B,G,1,B,G1,7,6,male,62,correct,I was thinking about the odds and uncertainty. I know for sure in one that there is a 50 50 chance. I am not sure about the other. There could be 999 of one color and 1 of the other or any other combination. It could work in my favor or not. I did not like the uncertainty of that situation.
gidd35yzgfe,G10B,G,10,B,G10,7,4,female,38,correct,"both options were so similar- there was no way of knowing either way, so I shouldn't worry about the outcome so much re: which party to attend"
5vjs35yz4bk,L12A,L,12,A,L12,7,6,female,58,correct,Because I would probably rather not know the exact percentage till it was over. I was thinking I would rather think I have a good shot at it.
ytq935yzygb,L3A,L,3,A,L3,7,3,male,30,correct,NA
4zlm35yztay,G6B,G,6,B,G6,7,4,female,38,correct,NA
q10c35yzrh8,G8B,G,8,B,G8,6,2,female,35,correct,"Probably the option A, because, YOLO."
f93w35yzkc9,L11B,L,11,B,L11,7,4,female,55,correct,NA
m9dy35yzgdl,L3A,L,3,A,L3,7,4,female,45,correct,NA
zw0n35yzt16,G9A,G,9,A,G9,5,4,female,37,correct,I'm not a runner and so I don;t care about the outcome
j0ly35yz8h5,L12A,L,12,A,L12,7,4,female,50,correct,"I felt like the possibilities were the same; either 50-50 or win or lose. The odds were the same in my estimation so I chose ""indifferent""."
x99o35yzkqp,L7A,L,7,A,L7,7,3,male,34,correct,50-50 is a good chance against an unknown situation
97rv35yzs9r,L3B,L,3,B,L3,6,1,male,24,correct,NA
13qn35yz20v,G1A,G,1,A,G1,7,1,female,25,correct,"I feel a lot better at least knowing my chances, and 50/50 sounds pretty okay to me."
0lk935yza48,G7B,G,7,B,G7,4,5,male,22,correct,NA
6h3a35yz3me,G3A,G,3,A,G3,7,4,male,30,correct,"IF I don't know what department I'm going to possibly be the head of, does it matter which one gets supported?"
ksec35yzo2v,L8B,L,8,B,L8,7,3,female,44,correct,"To me there was not much difference between the two choices. So, I just leaned toward one of them."
gru835yzo0f,L8B,L,8,B,L8,7,4,male,32,correct,NA
z1a035yzes6,G4B,G,4,B,G4,7,6,male,34,correct,"I think it would be better to have a 50/50 likelihood, because if it turned out to be something like 80/20 I would have fretted about whether the right choice had been made."
6q3o35yz16g,G7B,G,7,B,G7,7,5,male,36,correct,I think I slightly prefer the fifty fifty option. I think it would minimize my chances of feeling regret.
1iow35yzci7,G7B,G,7,B,G7,7,6,female,61,correct,NA
7kqk35yzyza,G9B,G,9,B,G9,6,3,female,29,correct,NA
o2g035yz9hj,L2A,L,2,A,L2,2,1,female,37,correct,NA
kds735yzdi4,L9B,L,9,B,L9,7,4,male,40,correct,"One choice was 50/50.  While the other had the potential to be better or worse, so I did not really see a big enough difference to choose 1 or the other."
jess35yz59u,G6A,G,6,A,G6,7,4,female,30,correct,both company have equal chance of receiving investor funds so i have no preference
wf8j35yzd6y,G10A,G,10,A,G10,7,4,male,52,correct,"The odds are the same for both situation, 50-50, so I picked ""indifferent."""
y8yc35yzonx,L11B,L,11,B,L11,7,2,female,48,correct,NA
7not35yzvt8,G3B,G,3,B,G3,6,4,female,35,correct,"I was indifferent because ultimately, the outcome of which dept was going to be backed was up to another person. It was out of my hands."
i97e35yz0mi,G7A,G,7,A,G7,7,4,female,29,correct,"The choice was between 50% for each district or an unknow percentage for each district. Either way, it means to me that I can't base my decision on that, it's unknown."
gdbs35yzttd,G1B,G,1,B,G1,7,7,female,70,correct,"I chose B in the second vignette because it was a concrete chance, 50/50, so the red ball or yellow ball risk was known. The other option was a mystery."
m2kv35yz004,G2A,G,2,A,G2,7,4,male,31,correct,"Both of the choices seemed like a coin flip to me. In the end, either X is my date or Y is my date. I therefore chose no preference."
oyj135yz0ta,L2A,L,2,A,L2,7,6,male,40,correct,"If I'm in a social setting, I'd rather not be thinking about probabilities.  The best thing I could do is hope the more attractive person is my date, introduce myself, and proceed from there."
w3t135yz7vb,G7B,G,7,B,G7,7,5,female,53,correct,I fell that knowing the chances were 50/50 was a little better than total uncertainty.
zin835yz3m3,G5A,G,5,A,G5,7,1,male,60,correct,NA
tkei35yzp7j,L12A,L,12,A,L12,7,5,female,37,correct,I'd rather not have it so cut and dry so I didn't want to know my exact chances of winning or losing because knowing that could affect how I conduct myself and I'd rather just be positive about it.
uk0o35yzlau,G9A,G,9,A,G9,6,4,female,40,correct,"because there was no certainty, and because either one might have helped, it made no difference to me - there are no guarantees for anything, everything is experimental, so it wouldn't have been a waste of time either way."
h4pp35yze6j,G8A,G,8,A,G8,7,1,male,41,correct,NA
bepj35yzb7m,G6B,G,6,B,G6,7,4,female,67,correct,NA
azdr35yz5bs,G6B,G,6,B,G6,7,5,male,25,correct,NA
9eli35yzcm3,L2B,L,2,B,L2,7,2,female,31,correct,I don't want my house flooded and I don't want to go on a romantic date with an extremely unattractive person.
9m1r35yzw1x,L8B,L,8,B,L8,7,6,male,32,correct,what the odds were and which one I would prefer
jmb635yznru,L6B,L,6,B,L6,7,4,female,25,correct,NA
fs0h35yzrg3,G11A,G,11,A,G11,6,4,male,34,correct,Both options seemed equally uninformative.
ccv735yzdyg,G12A,G,12,A,G12,7,4,female,36,correct,NA
f6nu35yzvqw,L3A,L,3,A,L3,7,1,female,39,correct,I would rather have a 50/50 shot of being the head of the department with the budget cuts. The other option had too many unknown variables.
mfu935yziu9,L10B,L,10,B,L10,7,3,female,31,correct,I was thinking that I was hopping for chances that are better than 50% for the benign variant.
zfmt35yzt9a,L2A,L,2,A,L2,7,4,male,39,correct,"I choose no preference, since this is a blind date, we can not expect something specific. Also it does not matter much as the probability is also uncertain."
n92y35yznow,L9B,L,9,B,L9,7,7,male,60,correct,It seemed the least in a bad situation for t he moment.
tyia35yz828,L10A,L,10,A,L10,2,3,other,33,correct,NA
0h8z35yz6pr,L2A,L,2,A,L2,6,1,male,43,correct,NA
4k2m35yzcza,L5B,L,5,B,L5,7,6,female,52,correct,"I would have been uncomfortable acting on what seemed like an ""insider"" tip. I would rather take my chances with 50/50."
69o935yzg5d,G1A,G,1,A,G1,7,2,female,31,correct,NA
wmwg35yzo4l,G12B,G,12,B,G12,7,5,female,34,correct,NA
fcho35yzfl2,G2B,G,2,B,G2,7,4,female,46,correct,I don't really have a preference in that situation.
5d4q35yzw8s,G7B,G,7,B,G7,7,4,male,37,correct,Mainly because there was no way that I could control the outcome of where the school would be placed. I don't put too much thought into situations I can't control.
jbh535yzb1y,L6A,L,6,A,L6,7,6,male,63,correct,I WAS THINKING I WOULD RATHER BE IN A SITUATION WHERE THE CHANCES OF MY BANK CLOSING MAY BE LESS THAN 50%. I WOULD RATHER NOT KNOW THE EXACT PROBABILITY THAN KNOW THERE WAS A 1 IN 2 CHANCE OF MY BANK CLOSING.
du1835yzdqh,L11A,L,11,A,L11,7,5,male,30,correct,NA
v0sr35yzmqa,L12A,L,12,A,L12,7,3,female,23,correct,NA
k82p35yzau1,G2B,G,2,B,G2,7,4,female,54,correct,"I'm old.  I used to be pretty, but not so much anymore.  Besides, I don't care as much about looks as I once did.  I want to meet and spend time with someone who is interesting, quirky, well-read and a bit like me - I like to call myself 'a superficial polymath' :)"
gj4q35yzz0f,G12B,G,12,B,G12,7,2,male,37,correct,NA
hkq035yzwnj,L5B,L,5,B,L5,7,4,female,25,correct,Both situations seemed similar to me. so i was in the middle
39dz35yzomi,G7B,G,7,B,G7,7,5,female,46,correct,I liked to at least know the probability of it being in each.
9sxb35yzy45,G11B,G,11,B,G11,7,6,male,37,correct,I'd rather know the odds.
jzu435yzk0i,L1A,L,1,A,L1,3,2,male,26,correct,The probability is known with the option I chose; having an unknown probability could result in a far less favorable outcome than otherwise.
gq2o35yziqj,G1A,G,1,A,G1,7,2,male,26,correct,"I figured it would be statistically best to have a 50% chance of winning, rather than the possibility of it being more probable to select a yellow ball."
e8bp35yzwcm,G1A,G,1,A,G1,7,2,male,25,correct,NA
b3fv35yz1i0,L1A,L,1,A,L1,7,1,female,38,correct,"I would much rather know the odds, even if they aren't good, than to go in blindly."
vlz635yzxeh,G2B,G,2,B,G2,7,2,female,34,correct,"I chose to not know the exact percentage. On one hand, of course I would want the more attractive person to be my blind date, but I also thought that knowing the exact percentage, or even just thinking too deeply about it, would be unkind to the less attractive person. Not knowing felt more like I was 'leaving it up to chance' (which maybe doesn't make sense, since the other option was a 50/50 chance, but that's what I was thinking)."
zxa935yzsrk,L5A,L,5,A,L5,7,5,female,45,correct,NA
frln35yzpsc,G5B,G,5,B,G5,7,5,female,42,correct,Which choice would give the best chance for a good outcome
hgx735yzp2o,L4B,L,4,B,L4,7,4,female,36,correct,"neither option seemed more positive than the other - in the one case, both programs had an equally likely chance of being cut, while in the other, I wouldn't have any information about the probability (which functionally works out to the same outcome). So I wouldn't care which situation I was in."
0kmm35yzak2,L10B,L,10,B,L10,6,7,female,37,correct,NA
7bth35yz8zt,G10B,G,10,B,G10,7,4,male,41,correct,Either way there was a possibility she'd be at the party.
2z5j35yza3b,G7A,G,7,A,G7,7,4,female,26,correct,"If it's 50/50 or some other unknown percentage, I don't really care. I can't do anything to control or change where they build the school, so I'd pick the house and location I liked better."
xar735yz0f5,G9A,G,9,A,G9,7,2,male,37,correct,NA
vebi35yzupz,G8A,G,8,A,G8,2,2,male,71,correct,NA
01i335yzdg4,L2A,L,2,A,L2,7,2,male,34,correct,because I do not determine their outward appearance...
zzgm35yzjvn,L4A,L,4,A,L4,7,4,male,36,correct,"I thought both answers were pretty much the same, a 50% chance of either occurrence is just as good as having no knowledge of the probability at all."
8uio35yzatz,G3A,G,3,A,G3,2,3,male,30,correct,It will be either for Department X or Y. But Cant guarantee.
040p35yzckh,L2B,L,2,B,L2,7,4,male,49,correct,"I was thinking it really doesn't matter because the known quantity was just 50%, so either way I'm taking a chance."
nghw35yz7we,G5A,G,5,A,G5,7,4,female,67,correct,The lack of difference in the two choices. Either way the outcome is unknown
frdd35yzsvt,G5A,G,5,A,G5,7,2,female,25,correct,NA
oyco35yzx8t,L11A,L,11,A,L11,7,2,female,39,correct,"I was thinking mostly about, in a situation in which the probability is unknown, the likelihood that the probability is greater than 50%."
wl1w35yz35b,L10A,L,10,A,L10,7,4,female,55,correct,without more specifics it doesn't seem different
vb5735yzhyd,G12A,G,12,A,G12,7,6,male,27,correct,Thanks
gtzg35yzzjk,G12A,G,12,A,G12,7,4,female,33,correct,NA
wke635yz4no,L2B,L,2,B,L2,7,5,female,35,correct,NA
diq735yzatw,L6B,L,6,B,L6,7,4,female,30,correct,NA
antr35yz015,L5A,L,5,A,L5,7,4,female,29,correct,I said I was neutral abou which situation I'd rather be in. Either way I cannot control the outcome.
sqyx35yzwj1,L6A,L,6,A,L6,3,4,female,64,correct,"I don't think it matters if there is 50% chance or which branch will close is unknown- either way, a branch will be closed and I don't know which one it is."
oago35yzerp,L12B,L,12,B,L12,7,5,female,37,correct,NA
ib3b35yzilj,G2B,G,2,B,G2,7,4,male,35,correct,NA
e8mi35yz2pw,G4B,G,4,B,G4,7,2,female,22,correct,It would be tough to know the exact probability of the situation with my child
7wui35yz1o7,L10A,L,10,A,L10,6,7,male,41,correct,NA
eqiu35yzpqe,G10B,G,10,B,G10,7,4,female,45,correct,"I chose indifferent because it seemed as though both possibilities really were saying the same thing, at least that's how I interpreted them so it really wouldn't matter either way as far as I am concerned."
lcic35yz2nx,G6A,G,6,A,G6,7,2,male,33,correct,NA
qk6v35yzjrm,L12B,L,12,B,L12,7,4,male,29,correct,"Both scenarios were essentially the same, only stated differently."
8ehg35yzn5c,L5A,L,5,A,L5,7,2,female,48,correct,I think the risk was better known  in the option I chose.
4kvr35yztc7,L3A,L,3,A,L3,7,2,male,38,correct,I would rather know the odds.
ifv735yz386,L12A,L,12,A,L12,6,5,female,28,correct,NA
dbsc35yzsuk,L3B,L,3,B,L3,7,5,male,33,correct,NA
zfjt35yzrym,G12B,G,12,B,G12,7,2,male,70,correct,NA
qs8u35yz6h7,L8B,L,8,B,L8,1,4,female,53,correct,Both options were basically the same
s7gv35yzd2a,L5B,L,5,B,L5,7,1,male,39,correct,I think i'd prefer the uncertainty.
9w0135yzwdz,L8B,L,8,B,L8,7,1,female,33,correct,NA
rdj335yzd4l,L9B,L,9,B,L9,6,4,male,30,correct,NA
zjsl35yzfaq,G5B,G,5,B,G5,7,4,female,36,correct,I was thinking that it wouldn't make much of a difference between A or B.
h0mw35yzukm,G12A,G,12,A,G12,2,4,male,40,correct,If there wasn't a fully effective drug then I don't see any discerable difference
o5dm35yzs2g,G10A,G,10,A,G10,7,3,female,39,correct,No comments at the current time.
tnsw35yzfog,G10B,G,10,B,G10,7,4,female,23,correct,NA
qyr635yzsl2,L6A,L,6,A,L6,7,7,female,59,correct,Well if i  am working at the bank and know it will be closed i would spend more time worrying about looking for another job instead of just working. Maybe during that time i will meet other bankers that could be a chance for another job.
kiv235yzt1r,L7B,L,7,B,L7,2,3,male,32,correct,I took my chances that I could come up with a better probability than 50/50
jos335yz5ro,L4B,L,4,B,L4,7,2,male,52,correct,"I chose ""probably A"" even though the uncertainties were unknown as I feel that this will cause me to focus more on the situation and to try and dig deeper to see if I can make some high-level estimates.  In the other scenario that was 50% / 50%, that feels like a coin toss and thus, I didn't feel as if I would have any control to dig deeper and to potentially improve the odds for my school."
ifph35yzvqc,G12A,G,12,A,G12,7,6,male,47,correct,"I don't like aids in this respect since it is not a true gauge of my abilities; but, I think I would take the option of both have some chance rather than 1 have only a 50% chance."
vg7t35yzl1y,G5A,G,5,A,G5,7,4,female,29,correct,It didn't seem like I would feel any better either way
ir1c35yzymv,G12B,G,12,B,G12,7,3,female,30,correct,NA
gnbh35yz5t8,G11A,G,11,A,G11,7,4,male,41,correct,I think both choices at preserve X and at preserve Y were wildly unpredictable. So either way you would end up with a 50% chance of being right and seeing the bird.
bxpz35yzvyq,G3B,G,3,B,G3,7,7,female,25,correct,NA
tks735yzv6a,G2A,G,2,A,G2,7,4,female,52,correct,"It wouldn't matter if Personx or Persony was my date by a certain percentage but I didn't know which one, it's just the same as there being a 50/50 chance. Who it is is still unknown"
zifh35yzvep,L6B,L,6,B,L6,7,1,female,56,correct,It is impossible to know what the future will have in store. There was no probability stated either.
mzxd35yzavo,G8A,G,8,A,G8,7,1,female,41,correct,I would rather have a probability of which person it was rather than no info.
y21435yzcac,L2B,L,2,B,L2,7,4,male,29,correct,NA
rckj35yz2vf,G2A,G,2,A,G2,7,1,male,62,correct,It would be good to know I had at least a 50% chance at the good looking date. Normally I would probably have less than 50% odds so that would be good. Plus I would just rather know the odds.
7bes35yzysv,G11B,G,11,B,G11,7,4,female,42,correct,I was weighing out what the probability was that I would actually get to see the bird but neither choice would give me a better chance than the other so I chose no preference.
v55935yzppd,L2A,L,2,A,L2,7,3,male,32,correct,"I answered based on my own preference, and slightly preferred 50/50 because the unknown odds could be worse"
r1wq35yz1qo,L7A,L,7,A,L7,7,3,female,66,correct,Is 50/50 chance better than not knowing anything about the split? Sort of.
ep6735yzvd4,G2A,G,2,A,G2,7,4,male,46,correct,NA
jrf135yzktz,L7A,L,7,A,L7,7,6,female,57,correct,I chose the answer that I did because I don't like uncertainty. I would want to know for sure one way or the other.
4p7x35yz8xe,G3B,G,3,B,G3,7,5,female,42,correct,I decided that having a 50/50 chance was slightly less risky than not knowing which department was favorable. I only slightly preferred that option though.
1bpb35yze1c,G8A,G,8,A,G8,7,4,female,30,correct,50 percent x and 50 percent y.
e3xh35yz8r0,L3A,L,3,A,L3,7,3,female,55,correct,"I feel like an unlucky person, so I'd slightly prefer the odds to be even than to take the chance that the odds would be stacked against me."
4oky35yzpex,L12B,L,12,B,L12,7,2,male,42,correct,"I would rather not be in a 50/50 decision where I have no idea which way the outcome could go. I would prefer to have the exact probability be unknown, because at least in such a scenario I should have some sense of whether the probability is closer to 20/80 or 80/20 and can adjust expectations accordingly."
rn3i35yzhng,L7B,L,7,B,L7,6,4,male,56,correct,"I knew one probability was 50% but the other one was completely unknown, it could be better or worse so I didn't feel it was different than the other 50% one."
gx1835yzfpt,L7A,L,7,A,L7,7,2,female,34,correct,NA
z0md35yz7a4,G11B,G,11,B,G11,7,4,female,45,correct,I was analysing the wordsmithing to detect any difference. I found none.
xt0p35yzkqc,G9A,G,9,A,G9,7,3,male,37,incorrect,NA
eh7435yzieu,L10A,L,10,A,L10,7,2,male,62,correct,NA
a1fx35yzzey,G7A,G,7,A,G7,7,2,female,64,correct,I'm more comfortable knowing odds than having the possibilities totally open-ended.
00yu35yztnw,L12A,L,12,A,L12,7,6,male,59,correct,Not knowing the probability of losing the election will keep me and the campaign team focused on trying to win the election. The alternative may bring a sense of complacency.
lfu135yzfvw,G5A,G,5,A,G5,7,4,male,29,correct,NA
m3jh35yzvo6,G5B,G,5,B,G5,7,4,female,59,correct,NA
t80i35yz28y,L11B,L,11,B,L11,7,3,male,47,correct,I was kind of in the middle of both choices. On the one hand I could choose a 50/50 probably and on the other I could chose an unknown probably. So it is a gamble as to whether it be more or less than 50/50. So I slightly leaned toward the unknown because there is a chance that the odds are better than 50/50. It is a gamble that I am only slightly excited to take.
0a0o35yz8a7,G2A,G,2,A,G2,7,4,female,31,correct,I would rather just get to know them I guess.
jvhc35yzyi1,G3A,G,3,A,G3,7,4,female,42,correct,I chose the answer that I did because it could have went either way and I was indifferent.
hira35yzo76,L3A,L,3,A,L3,7,4,female,41,correct,I don't see a difference between the outcome of the scenarios either way there was a 50% chance the department I choose will have budget cuts.
tv5y35yzxam,G6B,G,6,B,G6,7,4,female,51,correct,Both options were basically the same. In neither option did I know ahead of time which company would receive the investment funds.
j05r35yz0w6,L11B,L,11,B,L11,7,5,female,57,correct,I chose the answer I did because I feel like having the equivalent of a coin toss is better than it being highly likely the car was damaged.
nnhh35yzfpe,G11A,G,11,A,G11,3,4,male,60,correct,NA
6wgb35yzwub,L11B,L,11,B,L11,3,4,male,30,correct,NA
2xa435yzg2n,G11A,G,11,A,G11,7,2,female,50,correct,5050 chance seemed more likley to see the bird
e1ev35yzd2k,G12B,G,12,B,G12,7,5,female,44,correct,"B seems slightly better, only because a % effectiveness for both X and Y are known. However, the percentages in A might actually be higher even though they are unknown. So, B is only slightly better in my opinion."
bv7335yzylr,G2B,G,2,B,G2,7,4,female,40,correct,It wouldn't matter as it was a chance for both.
p7ui35yzt7f,G8B,G,8,B,G8,2,4,male,29,correct,NA
se1f35yzsb1,L10A,L,10,A,L10,7,2,male,58,correct,"I can't win, I'll take the 50/50 chance I don't die from it."
njmd35yzaj4,L7A,L,7,A,L7,7,4,male,35,correct,Well the answers really didn't give you one that was leaning towards the begin insect.
ekpl35yzkwg,G9B,G,9,B,G9,7,3,male,45,correct,I was thinking about the outcome and what would be better for me.
i33f35yz3t9,L5A,L,5,A,L5,7,5,female,61,correct,NA
ufy035yzd5v,L2B,L,2,B,L2,7,4,female,59,correct,NA
42vo35yzv24,G9A,G,9,A,G9,7,1,female,34,correct,NA
kl9d35yzeqi,L8B,L,8,B,L8,7,6,female,43,correct,"I was trying to determine the best outcome for the two given scenerios.  I thought if the other choice was made and the sides were like 80/20 for a bad lethal bite then the odds were not good.  With a 50/50 shot, you know where you stand."
14c535yzpzh,G8B,G,8,B,G8,7,6,male,30,correct,NA
dfr435yzmf0,G5B,G,5,B,G5,7,7,male,55,correct,I thought that in real life I would sell half of each stock investment.
4b8835yz2qc,G10A,G,10,A,G10,7,1,male,66,correct,"The second choice had no probabilities, so it seemed the odds were better with the 50/50 choice."
nxzs35yze23,L12B,L,12,B,L12,7,6,male,50,correct,"A 50/50 chance sounds more concrete (crazy, I know) than the other option."
3m3435yzqr4,L7B,L,7,B,L7,7,4,male,45,correct,"They are both bad, so I had no preference"
c1bs35yzcxr,G8A,G,8,A,G8,7,2,male,29,correct,NA
ygj935yzj6n,G4A,G,4,A,G4,7,3,female,24,correct,It's better to have more information than to find out one is highly unlikely when my child doesn't receive the scholarship.
xpzb35yzdvl,G7B,G,7,B,G7,7,6,male,43,correct,NA
kqtu35yzfwc,G5B,G,5,B,G5,7,7,male,34,correct,I would rather have a 50/ 50 chance if I had to sell one. I can at least have a 50 percent chance that my stock will skyrocket.
kden35yzje0,L6B,L,6,B,L6,7,2,female,40,correct,The branch that is closing is unknown. It is a risk.  I'd rather just not have a percentage of what if.
8t8r35yz71r,L8B,L,8,B,L8,7,6,female,43,correct,"It seemed like the more rational way of thinking of the situation. If the probability was unknown, I'd let my imagination get away from me and think that the snake that bit me was the poisonous one, which would make me panic. If I knew for certain that my odds were 50/50, I'd still be scared but at least I'd wouldn't imagine terrible odds."
7g3t35yzlhe,L8A,L,8,A,L8,7,5,female,32,correct,NA
huxs35yzkgs,G11B,G,11,B,G11,7,4,female,28,correct,NA
z4c535yzw5y,L6B,L,6,B,L6,7,7,male,24,correct,NA
9t8135yztp0,G10A,G,10,A,G10,7,2,female,36,correct,I'd rather there be a 50/50 shot at them being at either party than not knowing if there's any chance of them being at one of the parties.
ss6u35yz6bu,G11B,G,11,B,G11,7,4,female,44,correct,"I would have leaned one situation over the other had a known percentage been higher than 50%. Since, based on what was known, I had an equal chance at seeing the bird at either X or Y, I had no preference about which to visit."
juzi35yzmd9,L10B,L,10,B,L10,7,5,female,50,correct,I was actually kind of confused about the probability so I guess I'd rather have a 50/50 chance
pj7v35yzvar,G3B,G,3,B,G3,7,6,female,36,correct,NA
n4cv35yzx1f,G11A,G,11,A,G11,5,2,female,33,correct,I was thinking I would prefer a scenario with percentages
lcmk35yzxhm,L8B,L,8,B,L8,7,4,female,36,correct,That was a truly tough situation to be in.  I really don't know what I would do or think.
wufe35yzdys,L7A,L,7,A,L7,7,4,female,32,correct,It did not matter as which species was actually infesting the home was still unknown
pxoh35yzgwg,L3B,L,3,B,L3,6,6,male,32,correct,NA
fqcc35yz8d2,G10A,G,10,A,G10,7,3,female,36,correct,NA
to8i35yz6zj,G7A,G,7,A,G7,7,4,male,30,correct,I do not have kids nor do I plan to have kids any time soon to make use of an amazing school.
nxmj35yzch2,G8A,G,8,A,G8,7,4,male,36,correct,"I thought that a 50% chance was just as good as not knowing the probability at all, so I was indifferent."
oin035yz3fg,G8A,G,8,A,G8,7,1,male,26,correct,NA
vr6e35yzpe1,G12B,G,12,B,G12,7,4,male,27,correct,NA
x8f335yzhee,G11A,G,11,A,G11,7,4,female,58,correct,Because the odds were the same of seeing the bird in either place
8d3n35yzmv8,G9B,G,9,B,G9,7,4,female,57,correct,"I saw no difference in either choice.  One choice was definitely 50/50 nut the other one was unknown, meaning I had a 50/50 chance of getting the better protocol."
u2xr35yz6w3,L2A,L,2,A,L2,7,3,male,38,correct,NA
3xhu35yzt8f,G3A,G,3,A,G3,1,1,male,30,correct,NA
qaih35yzbd9,G5B,G,5,B,G5,7,4,female,46,correct,I could not decide which would be better for me as I did not have enough information to decide. I would have to choose mostly randomly in that case.
zuey35yzhjx,L6A,L,6,A,L6,5,6,male,25,correct,NA
b3g235yzpxj,G6A,G,6,A,G6,7,1,male,44,correct,"The company that receives extra funding could be the better one to be working for.  In situation A, the odds are even for which company will get the funding.  In situation B, the odds are unknown, but could be wildly uneven, so I went with A."
m7zb35yzm7r,G12B,G,12,B,G12,7,6,female,55,correct,50-50 chance of one of them working whereas the percentage on the other one could have been like 10-90%
rj5635yzn6y,L7B,L,7,B,L7,5,4,male,32,correct,NA
f9bv35yzatv,G1A,G,1,A,G1,7,2,male,53,correct,NA
sbrv35yzaza,L10B,L,10,B,L10,7,3,female,30,correct,I'd slightly rather there to be an unknown chance because the probability of 50/50 is too risky for me.
1bbz35yzkw3,G8B,G,8,B,G8,7,4,male,56,correct,I wanted to choose the one that meant the one I was interested in was most likely interested in me but the choices seemed equivalent.
lm3z35yzgbu,L6A,L,6,A,L6,7,5,female,57,correct,I think I would just want to work hard and not have the statistical knowledge regarding liklihood of closure impacting my motivation to do my job.
tz9035yzm22,G3A,G,3,A,G3,7,6,male,55,correct,NA
wgvk35yz4oj,L2A,L,2,A,L2,6,4,male,39,correct,The odds or answer seemed the same.
1exb35yzzr3,L9B,L,9,B,L9,7,4,male,30,correct,It would not matter which answer it was because you dont know which virus you have
ixuy35yzcel,L5A,L,5,A,L5,7,4,male,40,correct,NA
7av035yzijm,L7B,L,7,B,L7,7,6,female,63,correct,thinking of the question
kxnr35yzg9l,G4B,G,4,B,G4,7,5,female,65,correct,NA
mato35yzj7x,G2B,G,2,B,G2,7,6,female,32,correct,NA
47cl35yz00w,L12A,L,12,A,L12,7,4,male,36,correct,"MY focus is on what I can control, not potential outcomes. I really don't if I have a 50/50 chance of winning or I don't know the probability of winning because neither situation will have an impact on what actions I take."
mvr935yzs1k,G9A,G,9,A,G9,7,2,female,35,correct,"At least I knew I had a 50 percent chance that it would help me, the other could have been much less"
96ni35yzazr,G4A,G,4,A,G4,7,2,female,51,correct,NA
wjpe35yztxd,G5B,G,5,B,G5,7,5,female,58,correct,NA
