"","subject","condition","vignetteType","vignetteNumber","answerOrder","dummyVignetteAnswer","vignetteAnswer","gender","age","postquestion1","postquestion2"
"238","bfbc35yz8z2","L2A","L",2,"A","7","3","female","42","correct","Not knowing the probability for the second option means that the lethal snake could have had a high probability of being the snake that bit me. I thought maybe I was better off with 50/50 in that case."
"239","a0pt35yz7np","G4B","G",4,"B","1","2","female","41","correct",""
"240","fwyk35yztc3","L2A","L",2,"A","7","4","male","39","correct","Both not knowing the possibility and knowing it's a 50/50 chance do nothing additional towards letting me know if it's lethal.  Furthermore, even if there was a low probability, it's safest to plan for the worst, so by default I would be planning as if it was a lethal snake regardless.  Thus there's no difference between the two options."
"241","ctn035yz37g","G2A","G",2,"A","7","2","male","38","correct",""
"242","uhrs35yz6h5","L8B","L",8,"B","7","2","female","24","correct",""
"243","16wp35yz564","G12A","G",12,"A","1","3","male","23","correct",""
"244","q8pz35yzch7","L6B","L",6,"B","7","5","female","30","correct","its a hard one to choose from, 50/50 probability is usually the better option to me"
"245","xjk535yzqzt","L9B","L",9,"B","7","4","male","75","correct","Both seemed to be ""iffy"" about whether I would win or not, so they seemed pretty much the same, so I was indifferent."
"246","w1s835yz80j","L8B","L",8,"B","6","2","male","47","correct","A 50/50 shot would make me worry as 100% chance because it is so random.  Not knowing anything would be the preferred situation for me, at least I could put it out of my mind then."
"247","zmtw35yz3te","L12A","L",12,"A","1","6","male","50","correct",""
"248","y9ad35yzt99","G3A","G",3,"A","7","4","female","46","correct","Both options for this question were the same, just phrased differently so I chose ""no preference"""
"249","h7nt35yzr8k","L1A","L",1,"A","7","3","female","39","correct","No comments at the current time."
"250","s9jx35yz5px","L4B","L",4,"B","7","5","female","58","correct","50 percent is a decent chance, I didn't want to risk going lower"
"251","fsad35yz65a","G8A","G",8,"A","2","4","male","60","correct",""
"252","3x3o35yz5jb","L8B","L",8,"B","7","7","male","35","correct","I prefer the 50/50 option because it is more fair and equal. The other option could be skewed one way or another. This way 50 percent chance doesn't look so bad and is more based on luck."
"253","wgdb35yz9gq","L9B","L",9,"B","7","5","female","45","correct","I would rather want to know that I have a 50/50 chance then not knowing what my chance is at all. I chose this answer because it gave my percent chance of winning or losing. "
"254","3oi635yz9t5","G6B","G",6,"B","7","6","female","43","correct","Honestly, it seemed that the changes would be fifty fifty for ME either way, as I did not know the probability in the first scenario. But the second seemed rather neater. "
"255","bh1p35yz3fk","L6B","L",6,"B","7","5","male","19","correct","I just used my best judgement of what I would've liked to do during that situation."
"256","59vz35yztac","L10A","L",10,"A","6","2","female","25","incorrect",""
"257","ifc935yzqqy","G12B","G",12,"B","7","6","male","34","correct",""
"258","im8p35yz0v8","G1A","G",1,"A","7","6","male","36","correct",""
"259","mmph35yz2c3","L12B","L",12,"B","7","3","male","38","correct","I don't know the odds so my department could only have a 1% chance of being chosen."
"260","cowf35yzrlr","L12B","L",12,"B","7","6","female","31","correct",""
"261","3pow35yztgy","L6A","L",6,"A","7","4","male","30","correct",""
"262","88qa35yzoe9","L2A","L",2,"A","7","7","male","27","correct",""
"263","9qil35yzg1r","L1A","L",1,"A","7","1","female","27","correct","least risk to my stocks was wanted, so i picked the one that was a bit safer in my opinion"
"264","w8gk35yzto7","G10B","G",10,"B","7","6","male","62","correct","I was thinking about the odds and uncertainty. I know for sure in one that there is a 50 50 chance. I am not sure about the other. There could be 999 of one color and 1 of the other or any other combination. It could work in my favor or not. I did not like the uncertainty of that situation."
"265","gidd35yzgfe","G6B","G",6,"B","7","4","female","38","correct","both options were so similar- there was no way of knowing either way, so I shouldn't worry about the outcome so much re: which party to attend"
"266","5vjs35yz4bk","L9A","L",9,"A","7","6","female","58","correct","Because I would probably rather not know the exact percentage till it was over. I was thinking I would rather think I have a good shot at it."
"267","ytq935yzygb","L12A","L",12,"A","7","3","male","30","correct",""
"268","4zlm35yztay","G2B","G",2,"B","7","4","female","38","correct",""
"269","q10c35yzrh8","G4B","G",4,"B","6","2","female","35","correct","Probably the option A, because, YOLO. "
"270","f93w35yzkc9","L8B","L",8,"B","7","4","female","55","correct",""
"271","m9dy35yzgdl","L12A","L",12,"A","7","4","female","45","correct",""
"272","zw0n35yzt16","G5A","G",5,"A","5","4","female","37","correct","I'm not a runner and so I don;t care about the outcome"
"273","j0ly35yz8h5","L9A","L",9,"A","7","4","female","50","correct","I felt like the possibilities were the same; either 50-50 or win or lose. The odds were the same in my estimation so I chose ""indifferent""."
"274","x99o35yzkqp","L3A","L",3,"A","7","3","male","34","correct","50-50 is a good chance against an unknown situation"
"275","97rv35yzs9r","L12B","L",12,"B","6","1","male","24","correct",""
"276","13qn35yz20v","G10A","G",10,"A","7","1","female","25","correct","I feel a lot better at least knowing my chances, and 50/50 sounds pretty okay to me."
"277","0lk935yza48","G7B","G",7,"B","4","5","male","22","correct",""
"278","6h3a35yz3me","G3A","G",3,"A","7","4","male","30","correct","IF I don't know what department I'm going to possibly be the head of, does it matter which one gets supported?"
"279","ksec35yzo2v","L2B","L",2,"B","7","3","female","44","correct","To me there was not much difference between the two choices. So, I just leaned toward one of them."
"280","gru835yzo0f","L2B","L",2,"B","7","4","male","32","correct",""
"281","z1a035yzes6","G9B","G",9,"B","7","6","male","34","correct","I think it would be better to have a 50/50 likelihood, because if it turned out to be something like 80/20 I would have fretted about whether the right choice had been made."
"282","6q3o35yz16g","G7B","G",7,"B","7","5","male","36","correct","I think I slightly prefer the fifty fifty option. I think it would minimize my chances of feeling regret."
"283","1iow35yzci7","G7B","G",7,"B","7","6","female","61","correct",""
"284","7kqk35yzyza","G5B","G",5,"B","6","3","female","29","correct",""
"285","o2g035yz9hj","L6A","L",6,"A","2","1","female","37","correct",""
"286","kds735yzdi4","L4B","L",4,"B","7","4","male","40","correct","One choice was 50/50.  While the other had the potential to be better or worse, so I did not really see a big enough difference to choose 1 or the other.  "
"287","jess35yz59u","G2A","G",2,"A","7","4","female","30","correct","both company have equal chance of receiving investor funds so i have no preference"
"288","wf8j35yzd6y","G6A","G",6,"A","7","4","male","52","correct","The odds are the same for both situation, 50-50, so I picked ""indifferent."""
"289","y8yc35yzonx","L8B","L",8,"B","7","2","female","48","correct",""
"290","7not35yzvt8","G3B","G",3,"B","6","4","female","35","correct","I was indifferent because ultimately, the outcome of which dept was going to be backed was up to another person. It was out of my hands. "
"291","i97e35yz0mi","G7A","G",7,"A","7","4","female","29","correct","The choice was between 50% for each district or an unknow percentage for each district. Either way, it means to me that I can't base my decision on that, it's unknown. "
"292","gdbs35yzttd","G10B","G",10,"B","7","7","female","70","correct","I chose B in the second vignette because it was a concrete chance, 50/50, so the red ball or yellow ball risk was known. The other option was a mystery. "
"293","m2kv35yz004","G8A","G",8,"A","7","4","male","31","correct","Both of the choices seemed like a coin flip to me. In the end, either X is my date or Y is my date. I therefore chose no preference. "
"294","oyj135yz0ta","L6A","L",6,"A","7","6","male","40","correct","If I'm in a social setting, I'd rather not be thinking about probabilities.  The best thing I could do is hope the more attractive person is my date, introduce myself, and proceed from there.  "
"295","w3t135yz7vb","G7B","G",7,"B","7","5","female","53","correct","I fell that knowing the chances were 50/50 was a little better than total uncertainty."
"296","zin835yz3m3","G1A","G",1,"A","7","1","male","60","correct",""
"297","tkei35yzp7j","L9A","L",9,"A","7","5","female","37","correct","I'd rather not have it so cut and dry so I didn't want to know my exact chances of winning or losing because knowing that could affect how I conduct myself and I'd rather just be positive about it."
"298","uk0o35yzlau","G5A","G",5,"A","6","4","female","40","correct","because there was no certainty, and because either one might have helped, it made no difference to me - there are no guarantees for anything, everything is experimental, so it wouldn't have been a waste of time either way. "
"299","h4pp35yze6j","G4A","G",4,"A","7","1","male","41","correct",""
"300","bepj35yzb7m","G2B","G",2,"B","7","4","female","67","correct",""
"301","azdr35yz5bs","G2B","G",2,"B","7","5","male","25","correct",""
"302","9eli35yzcm3","L6B","L",6,"B","7","2","female","31","correct","I don't want my house flooded and I don't want to go on a romantic date with an extremely unattractive person. "
"303","9m1r35yzw1x","L2B","L",2,"B","7","6","male","32","correct","what the odds were and which one I would prefer "
"304","jmb635yznru","L10B","L",10,"B","7","4","female","25","correct",""
"305","fs0h35yzrg3","G11A","G",11,"A","6","4","male","34","correct","Both options seemed equally uninformative."
"306","ccv735yzdyg","G12A","G",12,"A","7","4","female","36","correct",""
"307","f6nu35yzvqw","L12A","L",12,"A","7","1","female","39","correct","I would rather have a 50/50 shot of being the head of the department with the budget cuts. The other option had too many unknown variables. "
"308","mfu935yziu9","L5B","L",5,"B","7","3","female","31","correct","I was thinking that I was hopping for chances that are better than 50% for the benign variant."
"309","zfmt35yzt9a","L6A","L",6,"A","7","4","male","39","correct","I choose no preference, since this is a blind date, we can not expect something specific. Also it does not matter much as the probability is also uncertain."
"310","n92y35yznow","L4B","L",4,"B","7","7","male","60","correct","It seemed the least in a bad situation for t he moment."
"311","tyia35yz828","L5A","L",5,"A","2","3","other","33","correct",""
"312","0h8z35yz6pr","L6A","L",6,"A","6","1","male","43","correct",""
"313","4k2m35yzcza","L1B","L",1,"B","7","6","female","52","correct","I would have been uncomfortable acting on what seemed like an ""insider"" tip. I would rather take my chances with 50/50."
"314","69o935yzg5d","G10A","G",10,"A","7","2","female","31","correct",""
"315","wmwg35yzo4l","G12B","G",12,"B","7","5","female","34","correct",""
"316","fcho35yzfl2","G8B","G",8,"B","7","4","female","46","correct","I don't really have a preference in that situation."
"317","5d4q35yzw8s","G7B","G",7,"B","7","4","male","37","correct","Mainly because there was no way that I could control the outcome of where the school would be placed. I don't put too much thought into situations I can't control."
"318","jbh535yzb1y","L10A","L",10,"A","7","6","male","63","correct","I WAS THINKING I WOULD RATHER BE IN A SITUATION WHERE THE CHANCES OF MY BANK CLOSING MAY BE LESS THAN 50%. I WOULD RATHER NOT KNOW THE EXACT PROBABILITY THAN KNOW THERE WAS A 1 IN 2 CHANCE OF MY BANK CLOSING."
"319","du1835yzdqh","L8A","L",8,"A","7","5","male","30","correct",""
"320","v0sr35yzmqa","L9A","L",9,"A","7","3","female","23","correct",""
"321","k82p35yzau1","G8B","G",8,"B","7","4","female","54","correct","I'm old.  I used to be pretty, but not so much anymore.  Besides, I don't care as much about looks as I once did.  I want to meet and spend time with someone who is interesting, quirky, well-read and a bit like me - I like to call myself 'a superficial polymath' :)"
"322","gj4q35yzz0f","G12B","G",12,"B","7","2","male","37","correct",""
"323","hkq035yzwnj","L1B","L",1,"B","7","4","female","25","correct","Both situations seemed similar to me. so i was in the middle "
"324","39dz35yzomi","G7B","G",7,"B","7","5","female","46","correct","I liked to at least know the probability of it being in each.  "
"325","9sxb35yzy45","G11B","G",11,"B","7","6","male","37","correct","I'd rather know the odds."
"326","jzu435yzk0i","L7A","L",7,"A","3","2","male","26","correct","The probability is known with the option I chose; having an unknown probability could result in a far less favorable outcome than otherwise."
"327","gq2o35yziqj","G10A","G",10,"A","7","2","male","26","correct","I figured it would be statistically best to have a 50% chance of winning, rather than the possibility of it being more probable to select a yellow ball."
"328","e8bp35yzwcm","G10A","G",10,"A","7","2","male","25","correct",""
"329","b3fv35yz1i0","L7A","L",7,"A","7","1","female","38","correct","I would much rather know the odds, even if they aren't good, than to go in blindly."
"330","vlz635yzxeh","G8B","G",8,"B","7","2","female","34","correct","I chose to not know the exact percentage. On one hand, of course I would want the more attractive person to be my blind date, but I also thought that knowing the exact percentage, or even just thinking too deeply about it, would be unkind to the less attractive person. Not knowing felt more like I was 'leaving it up to chance' (which maybe doesn't make sense, since the other option was a 50/50 chance, but that's what I was thinking)."
"331","zxa935yzsrk","L1A","L",1,"A","7","5","female","45","correct",""
"332","frln35yzpsc","G1B","G",1,"B","7","5","female","42","correct","Which choice would give the best chance for a good outcome"
"333","hgx735yzp2o","L11B","L",11,"B","7","4","female","36","correct","neither option seemed more positive than the other - in the one case, both programs had an equally likely chance of being cut, while in the other, I wouldn't have any information about the probability (which functionally works out to the same outcome). So I wouldn't care which situation I was in. "
"334","0kmm35yzak2","L5B","L",5,"B","6","7","female","37","correct",""
"335","7bth35yz8zt","G6B","G",6,"B","7","4","male","41","correct","Either way there was a possibility she'd be at the party."
"336","2z5j35yza3b","G7A","G",7,"A","7","4","female","26","correct","If it's 50/50 or some other unknown percentage, I don't really care. I can't do anything to control or change where they build the school, so I'd pick the house and location I liked better."
"337","xar735yz0f5","G5A","G",5,"A","7","2","male","37","correct",""
"338","vebi35yzupz","G4A","G",4,"A","2","2","male","71","correct",""
"339","01i335yzdg4","L6A","L",6,"A","7","2","male","34","correct"," because I do not determine their outward appearance..."
"340","zzgm35yzjvn","L11A","L",11,"A","7","4","male","36","correct","I thought both answers were pretty much the same, a 50% chance of either occurrence is just as good as having no knowledge of the probability at all."
"341","8uio35yzatz","G3A","G",3,"A","2","3","male","30","correct","It will be either for Department X or Y. But Cant guarantee."
"342","040p35yzckh","L6B","L",6,"B","7","4","male","49","correct","I was thinking it really doesn't matter because the known quantity was just 50%, so either way I'm taking a chance."
"343","nghw35yz7we","G1A","G",1,"A","7","4","female","67","correct","The lack of difference in the two choices. Either way the outcome is unknown"
"344","frdd35yzsvt","G1A","G",1,"A","7","2","female","25","correct",""
"345","oyco35yzx8t","L8A","L",8,"A","7","2","female","39","correct","I was thinking mostly about, in a situation in which the probability is unknown, the likelihood that the probability is greater than 50%."
"346","wl1w35yz35b","L5A","L",5,"A","7","4","female","55","correct","without more specifics it doesn't seem different"
"347","vb5735yzhyd","G12A","G",12,"A","7","6","male","27","correct","Thanks"
"348","gtzg35yzzjk","G12A","G",12,"A","7","4","female","33","correct",""
"349","wke635yz4no","L6B","L",6,"B","7","5","female","35","correct",""
"350","diq735yzatw","L10B","L",10,"B","7","4","female","30","correct",""
"351","antr35yz015","L1A","L",1,"A","7","4","female","29","correct","I said I was neutral abou which situation I'd rather be in. Either way I cannot control the outcome."
"352","sqyx35yzwj1","L10A","L",10,"A","3","4","female","64","correct","I don't think it matters if there is 50% chance or which branch will close is unknown- either way, a branch will be closed and I don't know which one it is."
"353","oago35yzerp","L9B","L",9,"B","7","5","female","37","correct",""
"354","ib3b35yzilj","G8B","G",8,"B","7","4","male","35","correct",""
"355","e8mi35yz2pw","G9B","G",9,"B","7","2","female","22","correct","It would be tough to know the exact probability of the situation with my child"
"356","7wui35yz1o7","L5A","L",5,"A","6","7","male","41","correct",""
"357","eqiu35yzpqe","G6B","G",6,"B","7","4","female","45","correct","I chose indifferent because it seemed as though both possibilities really were saying the same thing, at least that's how I interpreted them so it really wouldn't matter either way as far as I am concerned."
"358","lcic35yz2nx","G2A","G",2,"A","7","2","male","33","correct",""
"359","qk6v35yzjrm","L9B","L",9,"B","7","4","male","29","correct","Both scenarios were essentially the same, only stated differently."
"360","8ehg35yzn5c","L1A","L",1,"A","7","2","female","48","correct","I think the risk was better known  in the option I chose. "
"361","4kvr35yztc7","L12A","L",12,"A","7","2","male","38","correct","I would rather know the odds."
"362","ifv735yz386","L9A","L",9,"A","6","5","female","28","correct",""
"363","dbsc35yzsuk","L12B","L",12,"B","7","5","male","33","correct",""
"364","zfjt35yzrym","G12B","G",12,"B","7","2","male","70","correct",""
"365","qs8u35yz6h7","L2B","L",2,"B","1","4","female","53","correct","Both options were basically the same"
"366","s7gv35yzd2a","L1B","L",1,"B","7","1","male","39","correct","I think i'd prefer the uncertainty."
"367","9w0135yzwdz","L2B","L",2,"B","7","1","female","33","correct",""
"368","rdj335yzd4l","L4B","L",4,"B","6","4","male","30","correct",""
"369","zjsl35yzfaq","G1B","G",1,"B","7","4","female","36","correct","I was thinking that it wouldn't make much of a difference between A or B."
"370","h0mw35yzukm","G12A","G",12,"A","2","4","male","40","correct","If there wasn't a fully effective drug then I don't see any discerable difference"
"371","o5dm35yzs2g","G6A","G",6,"A","7","3","female","39","correct","No comments at the current time."
"372","tnsw35yzfog","G6B","G",6,"B","7","4","female","23","correct",""
"373","qyr635yzsl2","L10A","L",10,"A","7","7","female","59","correct"," Well if i  am working at the bank and know it will be closed i would spend more time worrying about looking for another job instead of just working. Maybe during that time i will meet other bankers that could be a chance for another job."
"374","kiv235yzt1r","L3B","L",3,"B","2","3","male","32","correct","I took my chances that I could come up with a better probability than 50/50"
"375","jos335yz5ro","L11B","L",11,"B","7","2","male","52","correct","I chose ""probably A"" even though the uncertainties were unknown as I feel that this will cause me to focus more on the situation and to try and dig deeper to see if I can make some high-level estimates.  In the other scenario that was 50% / 50%, that feels like a coin toss and thus, I didn't feel as if I would have any control to dig deeper and to potentially improve the odds for my school."
"376","ifph35yzvqc","G12A","G",12,"A","7","6","male","47","correct","I don't like aids in this respect since it is not a true gauge of my abilities; but, I think I would take the option of both have some chance rather than 1 have only a 50% chance."
"377","vg7t35yzl1y","G1A","G",1,"A","7","4","female","29","correct","It didn't seem like I would feel any better either way"
"378","ir1c35yzymv","G12B","G",12,"B","7","3","female","30","correct",""
"379","gnbh35yz5t8","G11A","G",11,"A","7","4","male","41","correct","I think both choices at preserve X and at preserve Y were wildly unpredictable. So either way you would end up with a 50% chance of being right and seeing the bird."
"380","bxpz35yzvyq","G3B","G",3,"B","7","7","female","25","correct",""
"381","tks735yzv6a","G8A","G",8,"A","7","4","female","52","correct","It wouldn't matter if Personx or Persony was my date by a certain percentage but I didn't know which one, it's just the same as there being a 50/50 chance. Who it is is still unknown"
"382","zifh35yzvep","L10B","L",10,"B","7","1","female","56","correct","It is impossible to know what the future will have in store. There was no probability stated either."
"383","mzxd35yzavo","G4A","G",4,"A","7","1","female","41","correct","I would rather have a probability of which person it was rather than no info."
"384","y21435yzcac","L6B","L",6,"B","7","4","male","29","correct",""
"385","rckj35yz2vf","G8A","G",8,"A","7","1","male","62","correct","It would be good to know I had at least a 50% chance at the good looking date. Normally I would probably have less than 50% odds so that would be good. Plus I would just rather know the odds."
"386","7bes35yzysv","G11B","G",11,"B","7","4","female","42","correct","I was weighing out what the probability was that I would actually get to see the bird but neither choice would give me a better chance than the other so I chose no preference."
"387","v55935yzppd","L6A","L",6,"A","7","3","male","32","correct","I answered based on my own preference, and slightly preferred 50/50 because the unknown odds could be worse"
"388","r1wq35yz1qo","L3A","L",3,"A","7","3","female","66","correct","Is 50/50 chance better than not knowing anything about the split? Sort of."
"389","ep6735yzvd4","G8A","G",8,"A","7","4","male","46","correct",""
"390","jrf135yzktz","L3A","L",3,"A","7","6","female","57","correct","I chose the answer that I did because I don't like uncertainty. I would want to know for sure one way or the other."
"391","4p7x35yz8xe","G3B","G",3,"B","7","5","female","42","correct","I decided that having a 50/50 chance was slightly less risky than not knowing which department was favorable. I only slightly preferred that option though."
"392","1bpb35yze1c","G4A","G",4,"A","7","4","female","30","correct","50 percent x and 50 percent y. "
"393","e3xh35yz8r0","L12A","L",12,"A","7","3","female","55","correct","I feel like an unlucky person, so I'd slightly prefer the odds to be even than to take the chance that the odds would be stacked against me."
"394","4oky35yzpex","L9B","L",9,"B","7","2","male","42","correct","I would rather not be in a 50/50 decision where I have no idea which way the outcome could go. I would prefer to have the exact probability be unknown, because at least in such a scenario I should have some sense of whether the probability is closer to 20/80 or 80/20 and can adjust expectations accordingly."
"395","rn3i35yzhng","L3B","L",3,"B","6","4","male","56","correct","I knew one probability was 50% but the other one was completely unknown, it could be better or worse so I didn't feel it was different than the other 50% one."
"396","gx1835yzfpt","L3A","L",3,"A","7","2","female","34","correct",""
"397","z0md35yz7a4","G11B","G",11,"B","7","4","female","45","correct","I was analysing the wordsmithing to detect any difference. I found none."
"398","xt0p35yzkqc","G5A","G",5,"A","7","3","male","37","incorrect",""
"399","eh7435yzieu","L5A","L",5,"A","7","2","male","62","correct",""
"400","a1fx35yzzey","G7A","G",7,"A","7","2","female","64","correct","I'm more comfortable knowing odds than having the possibilities totally open-ended."
"401","00yu35yztnw","L9A","L",9,"A","7","6","male","59","correct","Not knowing the probability of losing the election will keep me and the campaign team focused on trying to win the election. The alternative may bring a sense of complacency. "
"402","lfu135yzfvw","G1A","G",1,"A","7","4","male","29","correct",""
"403","m3jh35yzvo6","G1B","G",1,"B","7","4","female","59","correct",""
"404","t80i35yz28y","L8B","L",8,"B","7","3","male","47","correct","I was kind of in the middle of both choices. On the one hand I could choose a 50/50 probably and on the other I could chose an unknown probably. So it is a gamble as to whether it be more or less than 50/50. So I slightly leaned toward the unknown because there is a chance that the odds are better than 50/50. It is a gamble that I am only slightly excited to take."
"405","0a0o35yz8a7","G8A","G",8,"A","7","4","female","31","correct","I would rather just get to know them I guess."
"406","jvhc35yzyi1","G3A","G",3,"A","7","4","female","42","correct","I chose the answer that I did because it could have went either way and I was indifferent."
"407","hira35yzo76","L12A","L",12,"A","7","4","female","41","correct","I don't see a difference between the outcome of the scenarios either way there was a 50% chance the department I choose will have budget cuts. "
"408","tv5y35yzxam","G2B","G",2,"B","7","4","female","51","correct","Both options were basically the same. In neither option did I know ahead of time which company would receive the investment funds."
"409","j05r35yz0w6","L8B","L",8,"B","7","5","female","57","correct","I chose the answer I did because I feel like having the equivalent of a coin toss is better than it being highly likely the car was damaged."
"410","nnhh35yzfpe","G11A","G",11,"A","3","4","male","60","correct",""
"411","6wgb35yzwub","L8B","L",8,"B","3","4","male","30","correct",""
"412","2xa435yzg2n","G11A","G",11,"A","7","2","female","50","correct","5050 chance seemed more likley to see the bird"
"413","e1ev35yzd2k","G12B","G",12,"B","7","5","female","44","correct","B seems slightly better, only because a % effectiveness for both X and Y are known. However, the percentages in A might actually be higher even though they are unknown. So, B is only slightly better in my opinion."
"414","bv7335yzylr","G8B","G",8,"B","7","4","female","40","correct","It wouldn't matter as it was a chance for both."
"415","p7ui35yzt7f","G4B","G",4,"B","2","4","male","29","correct",""
"416","se1f35yzsb1","L5A","L",5,"A","7","2","male","58","correct","I can't win, I'll take the 50/50 chance I don't die from it."
"417","njmd35yzaj4","L3A","L",3,"A","7","4","male","35","correct","Well the answers really didn't give you one that was leaning towards the begin insect.  "
"418","ekpl35yzkwg","G5B","G",5,"B","7","3","male","45","correct","I was thinking about the outcome and what would be better for me."
"419","i33f35yz3t9","L1A","L",1,"A","7","5","female","61","correct",""
"420","ufy035yzd5v","L6B","L",6,"B","7","4","female","59","correct",""
"421","42vo35yzv24","G5A","G",5,"A","7","1","female","34","correct",""
"422","kl9d35yzeqi","L2B","L",2,"B","7","6","female","43","correct","I was trying to determine the best outcome for the two given scenerios.  I thought if the other choice was made and the sides were like 80/20 for a bad lethal bite then the odds were not good.  With a 50/50 shot, you know where you stand."
"423","14c535yzpzh","G4B","G",4,"B","7","6","male","30","correct",""
"424","dfr435yzmf0","G1B","G",1,"B","7","7","male","55","correct","I thought that in real life I would sell half of each stock investment."
"425","4b8835yz2qc","G6A","G",6,"A","7","1","male","66","correct","The second choice had no probabilities, so it seemed the odds were better with the 50/50 choice."
"426","nxzs35yze23","L9B","L",9,"B","7","6","male","50","correct","A 50/50 chance sounds more concrete (crazy, I know) than the other option."
"427","3m3435yzqr4","L3B","L",3,"B","7","4","male","45","correct","They are both bad, so I had no preference"
"428","c1bs35yzcxr","G4A","G",4,"A","7","2","male","29","correct",""
"429","ygj935yzj6n","G9A","G",9,"A","7","3","female","24","correct","It's better to have more information than to find out one is highly unlikely when my child doesn't receive the scholarship."
"430","xpzb35yzdvl","G7B","G",7,"B","7","6","male","43","correct",""
"431","kqtu35yzfwc","G1B","G",1,"B","7","7","male","34","correct","I would rather have a 50/ 50 chance if I had to sell one. I can at least have a 50 percent chance that my stock will skyrocket."
"432","kden35yzje0","L10B","L",10,"B","7","2","female","40","correct","The branch that is closing is unknown. It is a risk.  I'd rather just not have a percentage of what if. "
"433","8t8r35yz71r","L2B","L",2,"B","7","6","female","43","correct","It seemed like the more rational way of thinking of the situation. If the probability was unknown, I'd let my imagination get away from me and think that the snake that bit me was the poisonous one, which would make me panic. If I knew for certain that my odds were 50/50, I'd still be scared but at least I'd wouldn't imagine terrible odds."
"434","7g3t35yzlhe","L2A","L",2,"A","7","5","female","32","correct",""
"435","huxs35yzkgs","G11B","G",11,"B","7","4","female","28","correct",""
"436","z4c535yzw5y","L10B","L",10,"B","7","7","male","24","correct",""
"437","9t8135yztp0","G6A","G",6,"A","7","2","female","36","correct","I'd rather there be a 50/50 shot at them being at either party than not knowing if there's any chance of them being at one of the parties."
"438","ss6u35yz6bu","G11B","G",11,"B","7","4","female","44","correct","I would have leaned one situation over the other had a known percentage been higher than 50%. Since, based on what was known, I had an equal chance at seeing the bird at either X or Y, I had no preference about which to visit."
"439","juzi35yzmd9","L5B","L",5,"B","7","5","female","50","correct","I was actually kind of confused about the probability so I guess I'd rather have a 50/50 chance"
"440","pj7v35yzvar","G3B","G",3,"B","7","6","female","36","correct",""
"441","n4cv35yzx1f","G11A","G",11,"A","5","2","female","33","correct","I was thinking I would prefer a scenario with percentages"
"442","lcmk35yzxhm","L2B","L",2,"B","7","4","female","36","correct","That was a truly tough situation to be in.  I really don't know what I would do or think.  "
"443","wufe35yzdys","L3A","L",3,"A","7","4","female","32","correct","It did not matter as which species was actually infesting the home was still unknown "
"444","pxoh35yzgwg","L12B","L",12,"B","6","6","male","32","correct",""
"445","fqcc35yz8d2","G6A","G",6,"A","7","3","female","36","correct",""
"446","to8i35yz6zj","G7A","G",7,"A","7","4","male","30","correct","I do not have kids nor do I plan to have kids any time soon to make use of an amazing school. "
"447","nxmj35yzch2","G4A","G",4,"A","7","4","male","36","correct","I thought that a 50% chance was just as good as not knowing the probability at all, so I was indifferent."
"448","oin035yz3fg","G4A","G",4,"A","7","1","male","26","correct",""
"449","vr6e35yzpe1","G12B","G",12,"B","7","4","male","27","correct",""
"450","x8f335yzhee","G11A","G",11,"A","7","4","female","58","correct","Because the odds were the same of seeing the bird in either place"
"451","8d3n35yzmv8","G5B","G",5,"B","7","4","female","57","correct","I saw no difference in either choice.  One choice was definitely 50/50 nut the other one was unknown, meaning I had a 50/50 chance of getting the better protocol."
"452","u2xr35yz6w3","L6A","L",6,"A","7","3","male","38","correct",""
"453","3xhu35yzt8f","G3A","G",3,"A","1","1","male","30","correct",""
"454","qaih35yzbd9","G1B","G",1,"B","7","4","female","46","correct","I could not decide which would be better for me as I did not have enough information to decide. I would have to choose mostly randomly in that case."
"455","zuey35yzhjx","L10A","L",10,"A","5","6","male","25","correct",""
"456","b3g235yzpxj","G2A","G",2,"A","7","1","male","44","correct","The company that receives extra funding could be the better one to be working for.  In situation A, the odds are even for which company will get the funding.  In situation B, the odds are unknown, but could be wildly uneven, so I went with A."
"457","m7zb35yzm7r","G12B","G",12,"B","7","6","female","55","correct","50-50 chance of one of them working whereas the percentage on the other one could have been like 10-90%"
"458","rj5635yzn6y","L3B","L",3,"B","5","4","male","32","correct",""
"459","f9bv35yzatv","G10A","G",10,"A","7","2","male","53","correct",""
"460","sbrv35yzaza","L5B","L",5,"B","7","3","female","30","correct","I'd slightly rather there to be an unknown chance because the probability of 50/50 is too risky for me."
"461","1bbz35yzkw3","G4B","G",4,"B","7","4","male","56","correct","I wanted to choose the one that meant the one I was interested in was most likely interested in me but the choices seemed equivalent."
"462","lm3z35yzgbu","L10A","L",10,"A","7","5","female","57","correct","I think I would just want to work hard and not have the statistical knowledge regarding liklihood of closure impacting my motivation to do my job."
"463","tz9035yzm22","G3A","G",3,"A","7","6","male","55","correct",""
"464","wgvk35yz4oj","L6A","L",6,"A","6","4","male","39","correct","The odds or answer seemed the same. "
"465","1exb35yzzr3","L4B","L",4,"B","7","4","male","30","correct","It would not matter which answer it was because you dont know which virus you have"
"466","ixuy35yzcel","L1A","L",1,"A","7","4","male","40","correct",""
"467","7av035yzijm","L3B","L",3,"B","7","6","female","63","correct","thinking of the question"
"468","kxnr35yzg9l","G9B","G",9,"B","7","5","female","65","correct",""
"469","mato35yzj7x","G8B","G",8,"B","7","6","female","32","correct",""
