subject,condition,vignetteType,vignetteNumber,Start100,vignette,dummyConfidence,dummyXprob,dummyYprob,vignetteConfidence,vignetteXprob,vignetteYprob,gender,age,postQuestion1,postQuestion2
2l8035yzhoh,G3x,G,3,x,G3,1,92,8,1,50,50,female,32,correct,"There's no way to know which department he's going to support, so with the knowledge I have the probability is 50-50. But from the boss's perspective, he already knows which department he's supporting so it's 100-0. So those odds aren't the true probability, they're just based on limited information. I don't know if that makes sense, sorry!!"
x3ho35yzs88,G10x,G,10,x,G10,3,92,8,0,50,50,male,43,correct,"Since I have no other information to go on, it seems like I should base my action as if it was a 50/50 split, but there's no way of knowing how close that model is to reality, since that depends on the other person's decision-making."
b1sl35yz1st,L6y,L,6,y,L6,4,100,0,3,50,50,female,22,correct,NA
06fu35yznmg,L4y,L,4,y,L4,4,95,5,3,50,50,male,27,correct,It was not clear whitch one would be canceled so it was a 50-50 chance it seemed.
3twa35yzo0r,L6y,L,6,y,L6,4,85,15,3,10,90,female,43,correct,NA
55r835yzssr,L11y,L,11,y,L11,3,88,12,2,25,75,female,48,correct,"I used my personal experience with hailstorms.  I know that they can be very hit-and-miss, and just because it hails nearby doesn't mean it will hail on my car."
1e9435yz6g4,L7y,L,7,y,L7,3,95,5,0,50,50,female,36,correct,"Since I had basically no data to base on whether or not it was species X or Y, 50/50 is the correct probability I would guess. Helpful factors would be the tests the professional mentioned, but also how often each species occurs in nature f.e."
aj0r35yzqom,G10x,G,10,x,G10,4,97,3,3,50,50,female,47,correct,"This one threw me a little. I was thinking what kind of a stalker are we talking about here? Why wouldn't I know where my romantic person was? If I didn't know where they were why am I guessing? Seems like really bad manners. So I thought with statistics in mind instead. I chose 50/50, because there were only two locations. Anyhow...creepy stalker question! Lol."
b16b35yzjbb,L7x,L,7,x,L7,4,98,2,1,50,50,male,30,correct,"I really have no information to say that one species infestation is more likely than the other. Since there is no other information to go on, I figured there would be a equal chance of each."
fy9o35yzpik,G12x,G,12,x,G12,3,90,10,0,50,50,male,37,correct,NA
pxh235yzvuv,L10x,L,10,x,L10,4,90,10,1,35,65,female,57,correct,I answered as I did because I was thinking that it's more common to get a routine pathogen than a deadly pathogen.
0v4p35yzi29,G4x,G,4,x,G4,4,95,5,2,46,54,male,45,correct,I was thinking the wealthy person sort of liked one option more than the other. I guessed which one it would be since I did not have much information from which to make that guess.
952y35yzolw,G9x,G,9,x,G9,3,90,10,3,75,25,female,60,correct,NA
zfhw35yz17m,G12y,G,12,y,G12,3,80,20,1,50,50,male,38,correct,NA
gpw235yzshl,G8x,G,8,x,G8,3,90,10,3,50,50,male,33,correct,"Not much to think of, the probability is 50/50, even if I would like the person that I have a cruch on to feel the same for me the probability is the same"
u6m435yznn8,G11x,G,11,x,G11,3,83,17,3,50,50,male,62,correct,NA
3ojn35yztjy,L8x,L,8,x,L8,3,72,28,2,50,50,female,35,correct,NA
uvme35yzms9,G4x,G,4,x,G4,4,76,24,3,50,50,female,24,correct,NA
zexd35yzyls,G3y,G,3,y,G3,3,83,17,1,50,50,female,22,correct,"I was thinking that I did not have enough information to make an extremely accurate guess, so I figured it was a pretty equal chance for both departments."
qstt35yz2fi,L5x,L,5,x,L5,4,90,10,3,50,50,male,25,correct,NA
ngt835yzgei,G10y,G,10,y,G10,2,90,10,1,50,50,male,27,correct,NA
11pa35yzahh,G9y,G,9,y,G9,4,90,10,3,50,50,male,30,correct,There's a 50/50 chance you pick the right training protocol.
opz835yzm8h,L9y,L,9,y,L9,3,73,27,0,42,58,male,35,correct,there was data on the type of virus
und135yzuv7,G10y,G,10,y,G10,4,95,5,3,50,50,male,26,correct,NA
yket35yzsbs,L1x,L,1,x,L1,4,80,20,3,62,38,female,26,correct,I chose that answer because I thought they wanted the odds to be slightly in favor of the casino. It made me think that because I've been to a casino before.
fh3r35yzula,G4y,G,4,y,G4,3,98,2,2,50,50,female,23,correct,NA
bsuh35yz4a8,L10x,L,10,x,L10,4,81,19,1,46,54,male,32,correct,50/50.
l3k035yz0nb,G10x,G,10,x,G10,3,90,10,2,50,50,male,52,correct,NA
negd35yzmdk,G12y,G,12,y,G12,3,90,10,3,50,50,male,48,correct,"It`s 50/50 situation for the last question. Will it work or will it not. Just can`t prefer one to the other, based on this information? Anyway, thanks, everything worked as expected. Thank you !"
ezhf35yz93l,L6x,L,6,x,L6,3,85,15,2,50,50,male,24,correct,NA
vtih35yzgvd,L6x,L,6,x,L6,3,95,5,3,50,50,male,39,correct,"There were no prevalent option, so, I have decided on 50/50."
7lf535yzfoe,G9x,G,9,x,G9,4,81,19,2,56,44,male,40,correct,NA
ijsf35yzhpj,L4y,L,4,y,L4,3,83,17,2,53,47,female,53,correct,There was really not enough information to make an informed decision and that one is just as likely to be canceled as the other. It might depend on participation or what the school thought was best for the students so I picked they were just about equally likely to be discontinued.
gvpq35yzz16,L6x,L,6,x,L6,3,85,15,3,50,50,female,36,correct,"I put 50% because we don't have any other information about the banks or which one has more customers, so it is pretty much impossible to guess that one over the other would close without more information."
5o1b35yzofo,L8x,L,8,x,L8,4,100,0,3,50,50,male,36,correct,I was thinking there are two types of snakes and I didn't get any info on how populous each one is so I went 50/50
heqf35yz2tm,G3y,G,3,y,G3,3,89,11,2,52,48,female,35,correct,NA
xcxv35yzhgx,G5x,G,5,x,G5,3,84,16,2,51,49,female,39,correct,NA
vqpi35yzpk6,L4y,L,4,y,L4,3,75,25,2,60,40,male,29,correct,NA
3mkc35yzrf9,G8x,G,8,x,G8,2,75,25,3,50,50,female,32,correct,"Without any other information to go on and that there's only two people it could be, I went with 50/50 chance of it being on of them. I'm not sure if that's the right reasoning, but it seemed logical to me."
mlkh35yzkwb,L12y,L,12,y,L12,4,80,20,1,60,40,female,56,correct,I was thinking that I believe a lot of people go into the voting booth and vote for recognizable names.
lllz35yzhgf,G8x,G,8,x,G8,3,90,10,0,50,50,female,29,correct,It could have been either X or Y that liked me. Just because I didn't have feelings for one of them doesn't mean they didn't have feelings for me. And just because I did have feelings for one doesn't mean they were reciprocated.
9rjn35yzf7w,L3y,L,3,y,L3,4,98,2,1,50,50,female,70,correct,I figured there was a 50/50 chance for each department because no other information was available.
r98935yz81l,L8y,L,8,y,L8,3,82,18,2,53,47,male,38,correct,NA
isub35yzn78,G2x,G,2,x,G2,3,80,20,2,50,50,male,32,correct,That there was equal chance that the really attractive and decently attractive date were the correct  one. That I had a 50/50 chance.
dgb935yzqkg,L12y,L,12,y,L12,3,85,15,3,50,50,male,36,correct,NA
3nix35yzs4t,G12x,G,12,x,G12,2,85,15,3,50,50,female,56,correct,"I thought, with two drugs is at most 50/50."
7b6v35yz59y,G3y,G,3,y,G3,2,45,55,3,75,25,male,31,correct,NA
o1z635yzyvs,G4x,G,4,x,G4,2,100,0,0,50,50,male,39,correct,I was thinking that without more information you couldn't guess more than 50/50 because it could go either way depending on which the guy received more or less interest in.
xfww35yz63t,L11x,L,11,x,L11,4,95,5,2,50,50,other,35,correct,NA
ncu935yzud3,G10x,G,10,x,G10,1,80,20,3,50,50,female,39,correct,because i dont know which party my crush will attend.
ats735yz7d6,G2x,G,2,x,G2,3,90,10,3,50,50,male,40,correct,NA
pucz35yzpm7,L7x,L,7,x,L7,3,90,10,1,50,50,male,36,correct,I had no other information to indicate that one outcome was more likely than the other.
lblp35yzw1v,G10x,G,10,x,G10,3,85,15,0,50,50,female,46,correct,"I thought there was a 50% likelihood that he might be at either party, as there was no information that gave any indication as to which party was more likely, making it in my mind equally likely to be at either party."
nhin35yz5z0,L8x,L,8,x,L8,4,95,5,3,50,50,female,43,correct,Its the correct answer
yoa935yz1xj,L3x,L,3,x,L3,3,82,18,2,48,52,female,34,correct,i basically guessed 50/50 as there was no information why one department would be choose over another
jhec35yz6zw,L4y,L,4,y,L4,3,90,10,2,70,30,female,32,correct,I picked it because nothing is ever certain especially with school districts.
0ti835yzuv5,L1y,L,1,y,L1,3,92,8,0,40,60,male,54,correct,NA
tqlo35yzrdh,L7x,L,7,x,L7,3,95,5,0,60,40,male,31,correct,NA
05gm35yzi0s,G4x,G,4,x,G4,3,95,5,3,100,0,male,40,correct,"It said the scholarship would be funded for either X or Y. The way it's stated X or Y would be chosen not both which leaves out the 50% option that would mean both x and y would chosen. the probability slider also stated the ""other thing"" and not a specific thing. I'm 100% certain one thing will be chosen."
tw1d35yzfx3,L7x,L,7,x,L7,3,80,20,1,50,50,male,35,correct,I had no evidence pointing to one species over the other.
4x0t35yzawm,G11x,G,11,x,G11,4,87,13,3,59,41,female,37,correct,NA
5utz35yzv0g,G4x,G,4,x,G4,3,88,12,2,50,50,male,33,correct,"I went 50/50, since it wasn't a sure that that the scholarship would even be created."
hzb335yzumc,G8y,G,8,y,G8,4,100,0,2,60,40,female,69,correct,NA
mvhv35yzc6d,L8y,L,8,y,L8,3,70,30,2,50,50,female,40,correct,NA
37le35yziha,G10y,G,10,y,G10,3,85,15,1,50,50,female,34,correct,NA
pxh235yzcpa,L4x,L,4,x,L4,4,95,5,3,50,50,female,45,correct,"The last one I picked 50% on each one as without any extra information it looked like either one could be discontinued. I couldn't be 100% confident that my answer was correct. I was thinking you never know if a donation could happen and the school could keep the programs. So, that is why I picked reasonably confident. Thank you."
uflx35yz9ab,G8x,G,8,x,G8,4,80,20,3,50,50,female,39,correct,NA
s4pf35yznse,L1y,L,1,y,L1,3,88,12,0,60,40,female,28,correct,"There is no way to know how many red balls there were, according to the question. So I just gave a good guess."
3tnh35yz2u7,L3y,L,3,y,L3,3,100,0,2,50,50,female,46,correct,NA
op1135yz23z,G1x,G,1,x,G1,3,88,12,3,16,84,male,40,correct,NA
u7wz35yzgzy,G11x,G,11,x,G11,3,62,38,3,48,52,female,44,correct,"It could be a toss up where the bird is, I thought the odds were even"
doy535yzd5j,L7y,L,7,y,L7,3,86,14,1,50,50,male,32,correct,Given the information provided I had no better information than to guess it was 50/50. I was considering all of the probability to make the best possible judgment.
mzje35yzokm,G12x,G,12,x,G12,3,86,14,3,50,50,female,45,correct,I figured they had an equal chance of working well.
xh0x35yz33s,G12y,G,12,y,G12,4,80,20,2,50,50,female,42,correct,NA
nig435yzsjh,G10x,G,10,x,G10,3,87,13,2,50,50,male,59,correct,"In the absence of any other information, it is equally likely that the person is attending each party."
gphq35yz3kf,G4y,G,4,y,G4,3,80,20,2,50,50,female,35,correct,Quick hit! Thanks!
gtsq35yzun4,G3y,G,3,y,G3,3,80,20,4,50,50,female,26,correct,I chose 50-50 because the questions mentioned no hint at all to the preference of the boss.  It could go either way.
ipe235yzked,L1y,L,1,y,L1,4,91,9,1,48,52,female,46,correct,NA
n62t35yzc9w,L1y,L,1,y,L1,3,80,20,0,50,50,female,29,correct,"I went with equal odds, because I thought that would reflect my level of uncertainty about the color. Without specifics about the number of each color, it is actually impossible to know the odds!"
t2j135yzfvh,G9x,G,9,x,G9,3,80,20,2,60,40,male,29,correct,NA
agg035yz2g9,G9y,G,9,y,G9,4,90,10,2,50,50,male,29,correct,NA
79xk35yz9ut,G8y,G,8,y,G8,4,96,4,1,50,50,male,33,correct,NA
lu9j35yzvh5,L7x,L,7,x,L7,3,90,10,0,50,50,male,44,correct,"I had no information about which how often each type of infestation occurs, so I pretty much had no idea which was more likely."
zoa535yz2gl,L6x,L,6,x,L6,3,98,2,2,51,49,female,61,correct,"Since they would be closing one of the banks, but didn't indicate if there was a greater chance of either closing, I chose it as 50/50"
oevh35yzayc,G7y,G,7,y,G7,3,82,18,3,50,50,female,55,correct,I was thinking it was equally likely without knowing any other information.
ek7p35yz5w7,G7x,G,7,x,G7,3,80,20,1,60,40,female,52,correct,"At first, I thought the chances of the school being built in one neighborhood or the other must be 50-50 since the decision hadn't yet been made. However, then I considered that the information in the scenario didn't really address whatever discussion had been going on behind the scenes and figured that it was likely that the decision-makers were leaning toward a particular neighborhood, so I changed my answer to 60-40."
dg5k35yz9v3,G8y,G,8,y,G8,3,99,1,2,50,50,female,45,correct,"The first question gave me hints, the second question was all about chance"
wf7s35yzuct,G8y,G,8,y,G8,4,90,10,2,50,50,female,53,correct,There was really no way for me to know which one was more probable than the other.
aatd35yz473,L10x,L,10,x,L10,3,75,25,1,50,50,male,30,correct,NA
yxdh35yzld4,G8x,G,8,x,G8,3,98,2,1,50,50,female,28,correct,NA
tyrp35yzgj7,L3y,L,3,y,L3,3,82,18,3,50,50,female,32,correct,NA
7y6y35yz0tu,L5x,L,5,x,L5,3,90,10,0,50,50,male,41,correct,"Without knowing which stock you rise and which stock would plummet, it was basically a coin toss so I chose 50-50."
o6wo35yz4s2,L8x,L,8,x,L8,3,95,5,3,40,60,female,27,correct,"I was thinking that lethal snakebites are uncommon, so it was unlikely that I was bitten by a snake that cvould kill me"
ow2735yzejo,L6x,L,6,x,L6,3,98,2,2,80,20,male,25,correct,"It's not entirely clear whether the branch will shut down, but it does seem reasonably likely."
qbb135yzrdz,L6y,L,6,y,L6,3,89,11,3,50,50,female,34,correct,NA
zbso35yzg49,G3y,G,3,y,G3,4,100,0,4,50,50,female,22,correct,NA
ff0135yz38v,L3x,L,3,x,L3,4,95,5,2,62,38,female,50,correct,NA
p7mk35yzewm,L2y,L,2,y,L2,3,90,10,2,50,50,male,50,correct,"That one seemed 50/50. Two people, one is the date. Did my friend tell me she was really attractive? Am I attractive enough to expect an attractive date? I don't really get the 'confident in your percentages' question. It seems the first question deals with that."
o2c735yz0v0,L11y,L,11,y,L11,3,80,20,2,15,85,female,42,correct,"The description indicated it was near the airport, but it didn't specify where.  In my experience, the odds of being in a hailstorm are much less likely than the odds of not being in one."
wj8l35yzizl,L12y,L,12,y,L12,1,30,70,3,15,85,female,46,correct,I was thinking I would win
u34x35yzf9h,L3x,L,3,x,L3,3,77,23,0,51,49,na,67,correct,"I chose 50% because I had no data to base my answer on. I don't think, however, that it would necessarily be even odds which dept's budget is cut."
ukf035yzbmx,G5y,G,5,y,G5,4,95,5,3,50,50,male,26,correct,NA
xpn635yz7ui,L12x,L,12,x,L12,3,85,15,1,45,55,female,64,correct,"The incumbent usually has an advantage, but if the opposing candidate is strong and people are tired of the current, then it really could almost be a toss up."
2wwk35yz0ee,G10x,G,10,x,G10,3,97,3,2,3,97,female,46,correct,NA
dfui35yzvgo,L5x,L,5,x,L5,4,97,3,3,48,52,male,63,correct,"I tried to pick 50 percent for both stocks but the survey would not allow that. I had to choose 48 and 52 instead to progress to this screen. I picked in the middle because I would believe my broker and would trust his judgement. Since I do not know which stock will loose value, I had to pick a number in the middle to show an equal chance of either stock falling dramatically."
9n4h35yz0gb,G2y,G,2,y,G2,3,90,10,3,29,71,male,30,correct,NA
gwha35yz3vg,L10x,L,10,x,L10,3,81,19,0,50,50,female,33,correct,I didn't really understand the question so I chose 50
bcw535yz5bp,L8y,L,8,y,L8,3,65,35,2,20,80,female,43,correct,NA
yt0h35yz5ef,L12y,L,12,y,L12,3,57,43,1,34,66,male,28,correct,NA
yqlp35yzex7,L8x,L,8,x,L8,3,85,15,3,50,50,male,41,correct,I felt that was either bitten by snake X or snake Y and I felt there was a 50% chance of each.
del835yztv2,L6y,L,6,y,L6,3,90,10,1,51,49,female,51,correct,With no other information I feel one is as likely to close as the other so it's an even chance.
6h3735yzeoh,G6x,G,6,x,G6,3,90,10,4,50,50,male,56,correct,"because there was no information to make me lean either way. So, te probably was equal for both options."
g7l735yz0jn,L2x,L,2,x,L2,4,93,7,2,45,55,female,39,correct,I was paying attention.
kx2d35yzwgc,L8y,L,8,y,L8,3,90,10,3,50,50,female,48,correct,"there were only two kinds of snakes, poisonous and non poisonous. I figure it was a fifty fifty thing as to what snake would have made the bite."
b9k835yzny1,L8x,L,8,x,L8,3,85,15,2,50,50,female,27,correct,I chose the answer because I wasn't sure how many of each snakes there were in the wild.
8b4235yznhl,G7y,G,7,y,G7,3,74,26,0,48,52,male,31,correct,NA
b6rb35yzxjz,L5y,L,5,y,L5,3,80,20,3,50,50,male,55,correct,"I chose that answer, because absent any additional information about the stocks, the likelihood is equal for each. The actual likelihood may be different, but to me, it's a toss-up."
5z6p35yzior,L12x,L,12,x,L12,3,73,27,2,53,47,male,26,correct,NA
9axy35yzcqw,G10y,G,10,y,G10,4,100,0,0,50,50,female,25,correct,"There are two choices, so it's a coin toss as to which they would attend"
aoq335yzhul,G11x,G,11,x,G11,3,95,5,2,50,50,female,39,correct,"I thought that I missed information to  make a better choice, so with the information I had, the probability (from my point of view) was 50% for each."
w4wi35yzo24,G8y,G,8,y,G8,4,98,2,2,42,58,female,45,correct,With no information about how X or Y feel it is a 50/50 chance but I went a little higher thinking if I liked X maybe he relized it and or we had some things in common that would cause a mutual attraction
bghu35yz3jf,L11y,L,11,y,L11,3,75,25,1,50,50,male,44,correct,NA
c9as35yz8kx,L10x,L,10,x,L10,3,80,20,2,50,50,male,49,correct,"I know nothing about the pathogens and how frequently occur, and the doctor gave me no indication about likelihood either, so I treated it as a completely random choice, or tried to do that."
n84635yzca9,G12y,G,12,y,G12,4,0,100,3,50,50,female,40,correct,NA
4v6435yzys1,G4y,G,4,y,G4,3,90,10,2,50,50,female,45,correct,There were really no factors that led me to believe one had a better chance of being chosen than the other.
jlja35yz9wr,G3y,G,3,y,G3,3,70,30,2,75,25,male,37,correct,NA
tu8b35yzngj,L1x,L,1,x,L1,3,79,21,3,53,47,female,57,correct,NA
fx5635yz38k,G5x,G,5,x,G5,2,85,15,1,50,50,female,42,correct,I don't really trust investment advice unless I have more information. It just seemed like one stock would go up which tends to happen in the stock market so my guess was that there is a 50/50 chance.
76ht35yztlm,G10x,G,10,x,G10,4,95,5,3,50,50,female,43,correct,Without any other information about what party my crush might be attending I felt a 50/50 chance was an appropriate guess.  Since I only have two parties to choose from I suppose my chances of being at either party are 50/50 as well.
xua935yzfy1,G1x,G,1,x,G1,3,87,13,1,13,87,female,58,correct,"If they are giving away one thousand dollars, it cannot be a very high percentage of red balls.  Otherwise it would be over with a winner fairly quickly and this wouldn't bring the traffic that they are expecting."
n7km35yz64k,G10x,G,10,x,G10,3,80,20,3,100,0,male,35,correct,They were going to attend at least one party and they were far apart so i didn't see any chance they would attend both of them in the same night.
yevd35yzz88,L11x,L,11,x,L11,4,93,7,2,50,50,male,73,correct,NA
2wwu35yz5sk,G12x,G,12,x,G12,4,89,11,3,50,50,female,38,correct,i had no idea which way to lean so i put 50 for both
rxix35yzq2q,L11y,L,11,y,L11,4,92,8,3,62,38,female,26,correct,likelyhood of it hailing along with damaging my car
qsr635yz3ob,G4y,G,4,y,G4,2,75,25,3,50,50,female,64,correct,NA
hyph35yzkie,G9y,G,9,y,G9,4,96,4,1,50,50,female,37,correct,NA
bg0c35yzg0u,L12y,L,12,y,L12,3,75,25,3,40,60,female,53,correct,"I was thinking about my previous record, being elected 5 times, but also the fact that I had a strong competitor."
4xss35yzbwh,L4y,L,4,y,L4,4,99,1,3,80,20,male,22,correct,NA
kmwm35yz3gv,G7x,G,7,x,G7,4,90,10,3,50,50,female,53,correct,I felt that it could go either way so there is a 50 percent chance for each neighborhood to be selected.
wogo35yzsof,L12y,L,12,y,L12,4,96,4,2,40,60,female,25,correct,NA
sx0835yzbfn,L5y,L,5,y,L5,3,79,21,3,58,42,female,42,correct,Not sure just went on a gut feeling.
yjuu35yz3ms,L5x,L,5,x,L5,3,95,5,0,50,50,male,55,correct,I was thinking that I did not have enough information to choose which stock would plummet
f1yn35yzbox,G3y,G,3,y,G3,4,90,10,3,50,50,female,35,correct,NA
fqfb35yzam7,G1x,G,1,x,G1,3,77,23,3,3,97,female,71,correct,NA
x9xj35yzx88,G2y,G,2,y,G2,3,80,20,3,30,70,male,30,correct,"It is unlikely that my friend made me two blind dates. Besides, those two women were surely there by mere coincidence. I chose that option because it was most likely, unless my friend had done everything as a joke."
oele35yzmcy,L8y,L,8,y,L8,3,80,20,3,50,50,male,39,correct,i only had 2 options and didnt know which so 50/50
7grm35yzu5d,L11y,L,11,y,L11,3,69,31,2,49,51,male,38,correct,NA
1luz35yzjlz,G12x,G,12,x,G12,3,92,8,3,50,50,female,52,correct,There were two drugs and one of them might work for me.
zekg35yzj19,G6x,G,6,x,G6,3,92,8,3,77,23,male,60,correct,NA
bfkd35yz9wo,G12y,G,12,y,G12,3,75,25,1,45,55,female,23,correct,"I couldn't see any kind of difference between the drugs, all I could do was try one than the other."
xnql35yz0ca,G11y,G,11,y,G11,4,95,5,3,50,50,female,54,correct,If it's been spotted at both then it is equally likely to be at either one.
586235yzr1d,G11x,G,11,x,G11,3,80,20,2,50,50,male,26,correct,NA
u86p35yzwj2,L11x,L,11,x,L11,3,70,30,1,51,49,female,32,correct,NA
9qd835yzso7,L5x,L,5,x,L5,4,95,5,3,50,50,male,58,correct,it was a coin toss
knid35yz63z,G1y,G,1,y,G1,4,75,25,3,50,50,male,30,correct,theres only 2 results so 50 percent chance
suot35yza46,L5y,L,5,y,L5,3,90,10,0,50,50,male,39,correct,NA
3pxw35yzrgd,L1x,L,1,x,L1,3,75,25,0,50,50,female,57,correct,That I did not know how many balls were each color.
d5o635yzrtn,G1x,G,1,x,G1,3,80,20,3,5,95,male,33,correct,"Generally speaking, games in casinos are always rigged in favor of the house, otherwise casinos would quickly be put out of business. I indicated that the chances of selecting a red ball were significantly lower than selecting a yellow ball because casinos want to avoid paying out to winners as much as possible."
f3og35yzxp2,G2x,G,2,x,G2,4,95,5,3,60,40,male,55,correct,NA
tj2235yz23k,G6x,G,6,x,G6,4,97,3,4,98,2,female,31,correct,NA
esv235yzxme,L4y,L,4,y,L4,3,96,4,2,50,50,female,32,correct,"I was thinking that there was no real information to tip the scale one way or the other, so i chose 50/50."
9lo435yzjhq,G9x,G,9,x,G9,4,89,11,2,50,50,male,22,correct,NA
4u4s35yzv8m,G5y,G,5,y,G5,3,93,7,3,50,50,male,37,correct,The chance of knowing was about a 50 50 chance.
dv0f35yznr1,G1x,G,1,x,G1,4,95,5,3,50,50,female,41,correct,NA
uzj535yzp2t,G11x,G,11,x,G11,3,77,23,3,50,50,male,37,correct,"Since the bird will be either in X or Y, both have equal probability of having the bird given that there is no additional information available to indicate that there is a higher likelihood to find it in any one of those locations."
nri435yzzd4,G9y,G,9,y,G9,4,95,5,2,50,50,male,19,correct,"Since there's no evidence to back the success rate of any of the protocols, it seemed like a 50-50 situation to me."
4zx135yz80r,L4y,L,4,y,L4,1,76,24,0,64,36,other,99,correct,no idea
mbgt35yzxzy,L9y,L,9,y,L9,4,98,2,3,51,49,male,29,correct,"I was thinking about probability and possibility of getting viruses. I was thinking about how it would be impossible to tell, without additional information."
xh6k35yzrjq,G10x,G,10,x,G10,4,100,0,3,5,95,female,39,correct,NA
072t35yz23m,G11x,G,11,x,G11,3,95,5,3,50,50,male,36,correct,NA
8bcy35yzve6,G8y,G,8,y,G8,4,100,0,2,60,40,male,52,correct,NA
xsm035yzgpj,L1x,L,1,x,L1,3,85,15,3,50,50,male,38,correct,NA
a20l35yzopo,G5y,G,5,y,G5,3,98,2,0,50,50,female,35,correct,NA
hnm035yzdb0,G3y,G,3,y,G3,2,14,86,3,53,47,other,54,incorrect,NA
bsin35yz4ky,L6y,L,6,y,L6,3,85,15,2,50,50,male,29,correct,NA
2yhs35yz45p,G6y,G,6,y,G6,3,90,10,2,50,50,female,44,correct,NA
153935yz8vm,L10y,L,10,y,L10,4,100,0,2,54,46,male,23,correct,NA
uucd35yz6ve,G1x,G,1,x,G1,4,95,5,1,1,99,male,34,correct,I feel the casino would keep the odds very much in their favor.
ob6c35yzfjw,L12x,L,12,x,L12,3,80,20,1,55,45,male,29,correct,NA
zkn835yzpsi,L3x,L,3,x,L3,3,97,3,2,50,50,female,47,correct,NA
es8435yzitl,L10x,L,10,x,L10,4,80,20,3,56,44,male,29,correct,Not enough info on which one it can be
75fl35yzi1v,L6y,L,6,y,L6,1,95,5,3,50,50,male,35,correct,There was no information to suggest that one outcome was more likely than the other.
p4mm35yz2bk,G1y,G,1,y,G1,3,85,15,1,50,50,female,35,correct,"Honestly I assumed there was an equal chance of picking either ball. Had more information been provided I would have been able to be more accurate, but without any additional information I decided to go with 50% chance of either color being drawn."
arb135yz4gt,G5x,G,5,x,G5,3,65,35,2,75,25,female,41,correct,I just made my decisions to the best of my ability with the information that was provided.
gw2b35yzhos,L3x,L,3,x,L3,4,82,18,2,48,52,female,34,correct,NA
c5yf35yzto5,L1y,L,1,y,L1,4,90,10,3,50,50,female,47,correct,NA
x9ho35yz20r,L8x,L,8,x,L8,3,80,20,0,50,50,female,47,correct,"I did not know the percentage of snakes existing in that area, so I chose 50-50 chance."
zjy635yzdyj,G11y,G,11,y,G11,3,87,13,3,50,50,male,39,correct,I chose 50/50 since there was no additional information other than it had been spotted at both places.
5zgj35yzsll,G3x,G,3,x,G3,3,85,15,3,60,40,male,39,correct,I was thinking that there would be some signs that would give one department more probability over the other.
0cxg35yzv74,L8y,L,8,y,L8,3,95,5,2,50,50,female,32,correct,NA
i9qw35yzopi,L5y,L,5,y,L5,4,95,5,2,85,15,female,51,correct,NA
g9we35yz0kn,L10y,L,10,y,L10,4,90,10,1,45,55,female,42,correct,NA
a6uc35yzj9b,G2x,G,2,x,G2,0,23,77,2,23,77,male,42,correct,Think usually the less attractive person is for me. As a general rule.
pctw35yzbf8,G1x,G,1,x,G1,3,68,32,2,67,33,female,41,correct,NA
3w0s35yz86i,G12y,G,12,y,G12,3,96,4,3,90,10,female,65,correct,"I thought it was 90% probable that one drug would help and only 10% probable that the other would because I was told they each work only for certain people. So, it is almost certain that one of them would work. I gave only 90% because studies are often wrong and there is a slight chance both could work for me."
ug2o35yz506,G4y,G,4,y,G4,3,90,10,3,50,50,female,59,correct,NA
ctoa35yz386,G2x,G,2,x,G2,2,76,24,3,47,53,female,36,correct,NA
uay235yz252,L5x,L,5,x,L5,3,85,15,2,30,70,male,38,correct,I don't think it is likely that both would plummet in value. I was thinking about how stocks that I have purchased have performed.
hjp835yzoi3,G11y,G,11,y,G11,2,85,15,1,50,50,female,34,correct,"As I was presented with two options and no direct information that would have made either more likely, I used the basic assumption that each had an equal likelihood in the absence of other knowledge."
mhd635yzt99,G10x,G,10,x,G10,4,80,20,1,50,50,female,35,correct,NA
tumz35yzpix,L9x,L,9,x,L9,3,65,35,3,50,50,male,35,correct,NA
ma7a35yz2de,L4x,L,4,x,L4,3,80,20,3,50,50,male,31,correct,NA
3sg135yzxl9,L6y,L,6,y,L6,4,98,2,3,50,50,female,39,correct,"I didn't have much information to go on so I chose a 50% chance that either branch would be closed. If I had known some of the statistics, such as the average number of customers each  bank branch gets or which branch was located in the most populated area I would have been able to make a guess that favored one branch over the other as far as the likelihood of it being closed down."
v8fr35yz3qd,L10x,L,10,x,L10,3,80,20,1,40,60,male,30,correct,NA
yc9v35yz2t6,L5x,L,5,x,L5,2,80,20,1,50,50,female,44,correct,NA
kgig35yzte8,G3x,G,3,x,G3,3,80,20,3,52,48,female,51,correct,NA
g4ck35yz9hk,L6x,L,6,x,L6,4,92,8,3,50,50,male,64,correct,"There is no other information about the X & Y branches which I could use to determine the odds of either one being closed. As such, the only way to generally assess which one will close is to give them each a 50/50 probability."
p1z735yza1f,G11x,G,11,x,G11,3,80,20,3,50,50,male,49,correct,I chose equal chance because there was no extra information to help choose between the two locations. I was thinking back to the first question where there was extra information that helped inform a higher likelihood.
5mu835yzrbj,L5y,L,5,y,L5,3,80,20,3,80,20,male,41,correct,NA
omud35yz55g,G3y,G,3,y,G3,3,70,30,0,50,50,female,31,correct,NA
1moo35yz0zk,G3y,G,3,y,G3,3,90,10,4,50,50,female,33,correct,"I had no way of knowing which department would be supported, so i set it at 50%"
ndus35yztqv,G11y,G,11,y,G11,3,90,10,3,50,50,male,48,correct,NA
0sj635yzsu0,L2y,L,2,y,L2,3,95,5,3,15,85,male,25,correct,NA
