"","subject","condition","vignetteType","vignetteNumber","Start100","dummyConfidence","dummyXprob","dummyYprob","vignetteConfidence","vignetteXprob","vignetteYprob","gender","age","postQuestion1","postQuestion2"
"196","2l8035yzhoh","G3x","G",3,"x","1","92","8","1","50","50","female","32","correct","There's no way to know which department he's going to support, so with the knowledge I have the probability is 50-50. But from the boss's perspective, he already knows which department he's supporting so it's 100-0. So those odds aren't the true probability, they're just based on limited information. I don't know if that makes sense, sorry!!"
"197","x3ho35yzs88","G6x","G",6,"x","3","92","8","1","50","50","male","43","correct","Since I have no other information to go on, it seems like I should base my action as if it was a 50/50 split, but there's no way of knowing how close that model is to reality, since that depends on the other person's decision-making."
"198","b1sl35yz1st","L10y","L",10,"y","4","100","0","4","50","50","female","22","correct",""
"199","06fu35yznmg","L11y","L",11,"y","4","95","5","4","50","50","male","27","correct","It was not clear whitch one would be canceled so it was a 50-50 chance it seemed."
"200","3twa35yzo0r","L10y","L",10,"y","4","85","15","4","10","90","female","43","correct",""
"201","55r835yzssr","L8y","L",8,"y","3","88","12","3","25","75","female","48","correct","I used my personal experience with hailstorms.  I know that they can be very hit-and-miss, and just because it hails nearby doesn't mean it will hail on my car."
"202","1e9435yz6g4","L3y","L",3,"y","3","95","5","1","50","50","female","36","correct","Since I had basically no data to base on whether or not it was species X or Y, 50/50 is the correct probability I would guess. Helpful factors would be the tests the professional mentioned, but also how often each species occurs in nature f.e."
"203","aj0r35yzqom","G6x","G",6,"x","4","97","3","4","50","50","female","47","correct","This one threw me a little. I was thinking what kind of a stalker are we talking about here? Why wouldn't I know where my romantic person was? If I didn't know where they were why am I guessing? Seems like really bad manners. So I thought with statistics in mind instead. I chose 50/50, because there were only two locations. Anyhow...creepy stalker question! Lol. "
"204","b16b35yzjbb","L3x","L",3,"x","4","98","2","2","50","50","male","30","correct","I really have no information to say that one species infestation is more likely than the other. Since there is no other information to go on, I figured there would be a equal chance of each."
"205","fy9o35yzpik","G12x","G",12,"x","3","90","10","1","50","50","male","37","correct",""
"206","pxh235yzvuv","L5x","L",5,"x","4","90","10","2","35","65","female","57","correct","I answered as I did because I was thinking that it's more common to get a routine pathogen than a deadly pathogen."
"207","0v4p35yzi29","G9x","G",9,"x","4","95","5","3","46","54","male","45","correct","I was thinking the wealthy person sort of liked one option more than the other. I guessed which one it would be since I did not have much information from which to make that guess."
"208","952y35yzolw","G5x","G",5,"x","3","90","10","4","75","25","female","60","correct",""
"209","zfhw35yz17m","G12y","G",12,"y","3","80","20","2","50","50","male","38","correct",""
"210","gpw235yzshl","G4x","G",4,"x","3","90","10","3","50","50","male","33","correct","Not much to think of, the probability is 50/50, even if I would like the person that I have a cruch on to feel the same for me the probability is the same"
"211","u6m435yznn8","G11x","G",11,"x","3","83","17","4","50","50","male","62","correct",""
"212","3ojn35yztjy","L2x","L",2,"x","3","72","28","3","50","50","female","35","correct",""
"213","uvme35yzms9","G9x","G",9,"x","4","76","24","4","50","50","female","24","correct",""
"214","zexd35yzyls","G3y","G",3,"y","3","83","17","1","50","50","female","22","correct","I was thinking that I did not have enough information to make an extremely accurate guess, so I figured it was a pretty equal chance for both departments."
"215","qstt35yz2fi","L1x","L",1,"x","4","90","10","4","50","50","male","25","correct",""
"216","ngt835yzgei","G6y","G",6,"y","2","90","10","2","50","50","male","27","correct",""
"217","11pa35yzahh","G5y","G",5,"y","4","90","10","4","50","50","male","30","correct","There's a 50/50 chance you pick the right training protocol."
"218","opz835yzm8h","L4y","L",4,"y","3","73","27","1","42","58","male","35","correct","there was data on the type of virus"
"219","und135yzuv7","G6y","G",6,"y","4","95","5","4","50","50","male","26","correct",""
"220","yket35yzsbs","L7x","L",7,"x","4","80","20","4","62","38","female","26","correct","I chose that answer because I thought they wanted the odds to be slightly in favor of the casino. It made me think that because I've been to a casino before. "
"221","fh3r35yzula","G9y","G",9,"y","3","98","2","3","50","50","female","23","correct",""
"222","bsuh35yz4a8","L5x","L",5,"x","4","81","19","2","46","54","male","32","correct","50/50."
"223","l3k035yz0nb","G6x","G",6,"x","3","90","10","3","50","50","male","52","correct",""
"224","negd35yzmdk","G12y","G",12,"y","3","90","10","4","50","50","male","48","correct","It`s 50/50 situation for the last question. Will it work or will it not. Just can`t prefer one to the other, based on this information? Anyway, thanks, everything worked as expected. Thank you !"
"225","ezhf35yz93l","L10x","L",10,"x","3","85","15","3","50","50","male","24","correct",""
"226","vtih35yzgvd","L10x","L",10,"x","3","95","5","4","50","50","male","39","correct","There were no prevalent option, so, I have decided on 50/50."
"227","7lf535yzfoe","G5x","G",5,"x","4","81","19","3","56","44","male","40","correct",""
"228","ijsf35yzhpj","L11y","L",11,"y","3","83","17","3","53","47","female","53","correct","There was really not enough information to make an informed decision and that one is just as likely to be canceled as the other. It might depend on participation or what the school thought was best for the students so I picked they were just about equally likely to be discontinued. "
"229","gvpq35yzz16","L10x","L",10,"x","3","85","15","4","50","50","female","36","correct","I put 50% because we don't have any other information about the banks or which one has more customers, so it is pretty much impossible to guess that one over the other would close without more information."
"230","5o1b35yzofo","L2x","L",2,"x","4","100","0","4","50","50","male","36","correct","I was thinking there are two types of snakes and I didn't get any info on how populous each one is so I went 50/50"
"231","heqf35yz2tm","G3y","G",3,"y","3","89","11","2","52","48","female","35","correct",""
"232","xcxv35yzhgx","G1x","G",1,"x","3","84","16","3","51","49","female","39","correct",""
"233","vqpi35yzpk6","L11y","L",11,"y","3","75","25","3","60","40","male","29","correct",""
"234","3mkc35yzrf9","G4x","G",4,"x","2","75","25","3","50","50","female","32","correct","Without any other information to go on and that there's only two people it could be, I went with 50/50 chance of it being on of them. I'm not sure if that's the right reasoning, but it seemed logical to me. "
"235","mlkh35yzkwb","L9y","L",9,"y","4","80","20","2","60","40","female","56","correct","I was thinking that I believe a lot of people go into the voting booth and vote for recognizable names."
"236","lllz35yzhgf","G4x","G",4,"x","3","90","10","0","50","50","female","29","correct","It could have been either X or Y that liked me. Just because I didn't have feelings for one of them doesn't mean they didn't have feelings for me. And just because I did have feelings for one doesn't mean they were reciprocated. "
"237","9rjn35yzf7w","L12y","L",12,"y","4","98","2","2","50","50","female","70","correct","I figured there was a 50/50 chance for each department because no other information was available."
"238","r98935yz81l","L2y","L",2,"y","3","82","18","3","53","47","male","38","correct",""
"239","isub35yzn78","G8x","G",8,"x","3","80","20","3","50","50","male","32","correct","That there was equal chance that the really attractive and decently attractive date were the correct  one. That I had a 50/50 chance."
"240","dgb935yzqkg","L9y","L",9,"y","3","85","15","4","50","50","male","36","correct",""
"241","3nix35yzs4t","G12x","G",12,"x","2","85","15","4","50","50","female","56","correct","I thought, with two drugs is at most 50/50."
"242","7b6v35yz59y","G3y","G",3,"y","2","45","55","3","75","25","male","31","correct",""
"243","o1z635yzyvs","G9x","G",9,"x","2","100","0","1","50","50","male","39","correct","I was thinking that without more information you couldn't guess more than 50/50 because it could go either way depending on which the guy received more or less interest in."
"244","xfww35yz63t","L8x","L",8,"x","4","95","5","3","50","50","other","35","correct",""
"245","ncu935yzud3","G6x","G",6,"x","1","80","20","4","50","50","female","39","correct","because i dont know which party my crush will attend."
"246","ats735yz7d6","G8x","G",8,"x","3","90","10","4","50","50","male","40","correct",""
"247","pucz35yzpm7","L3x","L",3,"x","3","90","10","2","50","50","male","36","correct","I had no other information to indicate that one outcome was more likely than the other.  "
"248","lblp35yzw1v","G6x","G",6,"x","3","85","15","1","50","50","female","46","correct","I thought there was a 50% likelihood that he might be at either party, as there was no information that gave any indication as to which party was more likely, making it in my mind equally likely to be at either party."
"249","nhin35yz5z0","L2x","L",2,"x","4","95","5","4","50","50","female","43","correct","Its the correct answer"
"250","yoa935yz1xj","L12x","L",12,"x","3","82","18","3","48","52","female","34","correct","i basically guessed 50/50 as there was no information why one department would be choose over another"
"251","jhec35yz6zw","L11y","L",11,"y","3","90","10","3","70","30","female","32","correct","I picked it because nothing is ever certain especially with school districts. "
"252","0ti835yzuv5","L7y","L",7,"y","3","92","8","1","40","60","male","54","correct",""
"253","tqlo35yzrdh","L3x","L",3,"x","3","95","5","1","60","40","male","31","correct",""
"254","05gm35yzi0s","G9x","G",9,"x","3","95","5","4","100","0","male","40","correct","It said the scholarship would be funded for either X or Y. The way it's stated X or Y would be chosen not both which leaves out the 50% option that would mean both x and y would chosen. the probability slider also stated the ""other thing"" and not a specific thing. I'm 100% certain one thing will be chosen. "
"255","tw1d35yzfx3","L3x","L",3,"x","3","80","20","2","50","50","male","35","correct","I had no evidence pointing to one species over the other."
"256","4x0t35yzawm","G11x","G",11,"x","4","87","13","4","59","41","female","37","correct",""
"257","5utz35yzv0g","G9x","G",9,"x","3","88","12","3","50","50","male","33","correct","I went 50/50, since it wasn't a sure that that the scholarship would even be created."
"258","hzb335yzumc","G4y","G",4,"y","4","100","0","2","60","40","female","69","correct",""
"259","mvhv35yzc6d","L2y","L",2,"y","3","70","30","3","50","50","female","40","correct",""
"260","37le35yziha","G6y","G",6,"y","3","85","15","2","50","50","female","34","correct",""
"261","pxh235yzcpa","L11x","L",11,"x","4","95","5","4","50","50","female","45","correct","The last one I picked 50% on each one as without any extra information it looked like either one could be discontinued. I couldn't be 100% confident that my answer was correct. I was thinking you never know if a donation could happen and the school could keep the programs. So, that is why I picked reasonably confident. Thank you."
"262","uflx35yz9ab","G4x","G",4,"x","4","80","20","3","50","50","female","39","correct",""
"263","s4pf35yznse","L7y","L",7,"y","3","88","12","1","60","40","female","28","correct","There is no way to know how many red balls there were, according to the question. So I just gave a good guess."
"264","3tnh35yz2u7","L12y","L",12,"y","3","100","0","3","50","50","female","46","correct",""
"265","op1135yz23z","G10x","G",10,"x","3","88","12","4","16","84","male","40","correct",""
"266","u7wz35yzgzy","G11x","G",11,"x","3","62","38","4","48","52","female","44","correct","It could be a toss up where the bird is, I thought the odds were even"
"267","doy535yzd5j","L3y","L",3,"y","3","86","14","2","50","50","male","32","correct","Given the information provided I had no better information than to guess it was 50/50. I was considering all of the probability to make the best possible judgment."
"268","mzje35yzokm","G12x","G",12,"x","3","86","14","4","50","50","female","45","correct","I figured they had an equal chance of working well."
"269","xh0x35yz33s","G12y","G",12,"y","4","80","20","3","50","50","female","42","correct",""
"270","nig435yzsjh","G6x","G",6,"x","3","87","13","3","50","50","male","59","correct","In the absence of any other information, it is equally likely that the person is attending each party. "
"271","gphq35yz3kf","G9y","G",9,"y","3","80","20","3","50","50","female","35","correct","Quick hit! Thanks!"
"272","gtsq35yzun4","G3y","G",3,"y","3","80","20","4","50","50","female","26","correct","I chose 50-50 because the questions mentioned no hint at all to the preference of the boss.  It could go either way."
"273","ipe235yzked","L7y","L",7,"y","4","91","9","2","48","52","female","46","correct",""
"274","n62t35yzc9w","L7y","L",7,"y","3","80","20","1","50","50","female","29","correct","I went with equal odds, because I thought that would reflect my level of uncertainty about the color. Without specifics about the number of each color, it is actually impossible to know the odds!"
"275","t2j135yzfvh","G5x","G",5,"x","3","80","20","3","60","40","male","29","correct",""
"276","agg035yz2g9","G5y","G",5,"y","4","90","10","3","50","50","male","29","correct",""
"277","79xk35yz9ut","G4y","G",4,"y","4","96","4","1","50","50","male","33","correct",""
"278","lu9j35yzvh5","L3x","L",3,"x","3","90","10","1","50","50","male","44","correct","I had no information about which how often each type of infestation occurs, so I pretty much had no idea which was more likely."
"279","zoa535yz2gl","L10x","L",10,"x","3","98","2","3","51","49","female","61","correct","Since they would be closing one of the banks, but didn't indicate if there was a greater chance of either closing, I chose it as 50/50"
"280","oevh35yzayc","G7y","G",7,"y","3","82","18","4","50","50","female","55","correct","I was thinking it was equally likely without knowing any other information."
"281","ek7p35yz5w7","G7x","G",7,"x","3","80","20","2","60","40","female","52","correct","At first, I thought the chances of the school being built in one neighborhood or the other must be 50-50 since the decision hadn't yet been made. However, then I considered that the information in the scenario didn't really address whatever discussion had been going on behind the scenes and figured that it was likely that the decision-makers were leaning toward a particular neighborhood, so I changed my answer to 60-40."
"282","dg5k35yz9v3","G4y","G",4,"y","3","99","1","2","50","50","female","45","correct","The first question gave me hints, the second question was all about chance"
"283","wf7s35yzuct","G4y","G",4,"y","4","90","10","2","50","50","female","53","correct","There was really no way for me to know which one was more probable than the other."
"284","aatd35yz473","L5x","L",5,"x","3","75","25","2","50","50","male","30","correct",""
"285","yxdh35yzld4","G4x","G",4,"x","3","98","2","1","50","50","female","28","correct",""
"286","tyrp35yzgj7","L12y","L",12,"y","3","82","18","4","50","50","female","32","correct",""
"287","7y6y35yz0tu","L1x","L",1,"x","3","90","10","1","50","50","male","41","correct","Without knowing which stock you rise and which stock would plummet, it was basically a coin toss so I chose 50-50."
"288","o6wo35yz4s2","L2x","L",2,"x","3","95","5","4","40","60","female","27","correct","I was thinking that lethal snakebites are uncommon, so it was unlikely that I was bitten by a snake that cvould kill me"
"289","ow2735yzejo","L10x","L",10,"x","3","98","2","3","80","20","male","25","correct","It's not entirely clear whether the branch will shut down, but it does seem reasonably likely."
"290","qbb135yzrdz","L10y","L",10,"y","3","89","11","4","50","50","female","34","correct",""
"291","zbso35yzg49","G3y","G",3,"y","4","100","0","4","50","50","female","22","correct",""
"292","ff0135yz38v","L12x","L",12,"x","4","95","5","3","62","38","female","50","correct",""
"293","p7mk35yzewm","L6y","L",6,"y","3","90","10","3","50","50","male","50","correct","That one seemed 50/50. Two people, one is the date. Did my friend tell me she was really attractive? Am I attractive enough to expect an attractive date? I don't really get the 'confident in your percentages' question. It seems the first question deals with that. "
"294","o2c735yz0v0","L8y","L",8,"y","3","80","20","3","15","85","female","42","correct","The description indicated it was near the airport, but it didn't specify where.  In my experience, the odds of being in a hailstorm are much less likely than the odds of not being in one."
"295","wj8l35yzizl","L9y","L",9,"y","1","30","70","4","15","85","female","46","correct","I was thinking I would win"
"296","u34x35yzf9h","L12x","L",12,"x","3","77","23","1","51","49","na","67","correct","I chose 50% because I had no data to base my answer on. I don't think, however, that it would necessarily be even odds which dept's budget is cut."
"297","ukf035yzbmx","G1y","G",1,"y","4","95","5","4","50","50","male","26","correct",""
"298","xpn635yz7ui","L9x","L",9,"x","3","85","15","2","45","55","female","64","correct","The incumbent usually has an advantage, but if the opposing candidate is strong and people are tired of the current, then it really could almost be a toss up."
"299","2wwk35yz0ee","G6x","G",6,"x","3","97","3","3","3","97","female","46","correct",""
"300","dfui35yzvgo","L1x","L",1,"x","4","97","3","4","48","52","male","63","correct","I tried to pick 50 percent for both stocks but the survey would not allow that. I had to choose 48 and 52 instead to progress to this screen. I picked in the middle because I would believe my broker and would trust his judgement. Since I do not know which stock will loose value, I had to pick a number in the middle to show an equal chance of either stock falling dramatically."
"301","9n4h35yz0gb","G8y","G",8,"y","3","90","10","4","29","71","male","30","correct",""
"302","gwha35yz3vg","L5x","L",5,"x","3","81","19","1","50","50","female","33","correct","I didn't really understand the question so I chose 50"
"303","bcw535yz5bp","L2y","L",2,"y","3","65","35","3","20","80","female","43","correct",""
"304","yt0h35yz5ef","L9y","L",9,"y","3","57","43","2","34","66","male","28","correct",""
"305","yqlp35yzex7","L2x","L",2,"x","3","85","15","4","50","50","male","41","correct","I felt that was either bitten by snake X or snake Y and I felt there was a 50% chance of each."
"306","del835yztv2","L10y","L",10,"y","3","90","10","2","51","49","female","51","correct","With no other information I feel one is as likely to close as the other so it's an even chance."
"307","6h3735yzeoh","G2x","G",2,"x","3","90","10","4","50","50","male","56","correct","because there was no information to make me lean either way. So, te probably was equal for both options."
"308","g7l735yz0jn","L6x","L",6,"x","4","93","7","3","45","55","female","39","correct","I was paying attention."
"309","kx2d35yzwgc","L2y","L",2,"y","3","90","10","4","50","50","female","48","correct","there were only two kinds of snakes, poisonous and non poisonous. I figure it was a fifty fifty thing as to what snake would have made the bite."
"310","b9k835yzny1","L2x","L",2,"x","3","85","15","3","50","50","female","27","correct","I chose the answer because I wasn't sure how many of each snakes there were in the wild."
"311","8b4235yznhl","G7y","G",7,"y","3","74","26","1","48","52","male","31","correct",""
"312","b6rb35yzxjz","L1y","L",1,"y","3","80","20","4","50","50","male","55","correct","I chose that answer, because absent any additional information about the stocks, the likelihood is equal for each. The actual likelihood may be different, but to me, it's a toss-up."
"313","5z6p35yzior","L9x","L",9,"x","3","73","27","3","53","47","male","26","correct",""
"314","9axy35yzcqw","G6y","G",6,"y","4","100","0","1","50","50","female","25","correct","There are two choices, so it's a coin toss as to which they would attend"
"315","aoq335yzhul","G11x","G",11,"x","3","95","5","3","50","50","female","39","correct","I thought that I missed information to  make a better choice, so with the information I had, the probability (from my point of view) was 50% for each."
"316","w4wi35yzo24","G4y","G",4,"y","4","98","2","2","42","58","female","45","correct","With no information about how X or Y feel it is a 50/50 chance but I went a little higher thinking if I liked X maybe he relized it and or we had some things in common that would cause a mutual attraction"
"317","bghu35yz3jf","L8y","L",8,"y","3","75","25","2","50","50","male","44","correct",""
"318","c9as35yz8kx","L5x","L",5,"x","3","80","20","3","50","50","male","49","correct","I know nothing about the pathogens and how frequently occur, and the doctor gave me no indication about likelihood either, so I treated it as a completely random choice, or tried to do that."
"319","n84635yzca9","G12y","G",12,"y","4","0","100","4","50","50","female","40","correct",""
"320","4v6435yzys1","G9y","G",9,"y","3","90","10","3","50","50","female","45","correct","There were really no factors that led me to believe one had a better chance of being chosen than the other."
"321","jlja35yz9wr","G3y","G",3,"y","3","70","30","2","75","25","male","37","correct",""
"322","tu8b35yzngj","L7x","L",7,"x","3","79","21","4","53","47","female","57","correct",""
"323","fx5635yz38k","G1x","G",1,"x","2","85","15","2","50","50","female","42","correct","I don't really trust investment advice unless I have more information. It just seemed like one stock would go up which tends to happen in the stock market so my guess was that there is a 50/50 chance."
"324","76ht35yztlm","G6x","G",6,"x","4","95","5","4","50","50","female","43","correct","Without any other information about what party my crush might be attending I felt a 50/50 chance was an appropriate guess.  Since I only have two parties to choose from I suppose my chances of being at either party are 50/50 as well. "
"325","xua935yzfy1","G10x","G",10,"x","3","87","13","2","13","87","female","58","correct","If they are giving away one thousand dollars, it cannot be a very high percentage of red balls.  Otherwise it would be over with a winner fairly quickly and this wouldn't bring the traffic that they are expecting."
"326","n7km35yz64k","G6x","G",6,"x","3","80","20","4","100","0","male","35","correct","They were going to attend at least one party and they were far apart so i didn't see any chance they would attend both of them in the same night."
"327","yevd35yzz88","L8x","L",8,"x","4","93","7","3","50","50","male","73","correct",""
"328","2wwu35yz5sk","G12x","G",12,"x","4","89","11","4","50","50","female","38","correct","i had no idea which way to lean so i put 50 for both"
"329","rxix35yzq2q","L8y","L",8,"y","4","92","8","4","62","38","female","26","correct","likelyhood of it hailing along with damaging my car"
"330","qsr635yz3ob","G9y","G",9,"y","2","75","25","4","50","50","female","64","correct",""
"331","hyph35yzkie","G5y","G",5,"y","4","96","4","2","50","50","female","37","correct",""
"332","bg0c35yzg0u","L9y","L",9,"y","3","75","25","4","40","60","female","53","correct","I was thinking about my previous record, being elected 5 times, but also the fact that I had a strong competitor."
"333","4xss35yzbwh","L11y","L",11,"y","4","99","1","4","80","20","male","22","correct",""
"334","kmwm35yz3gv","G7x","G",7,"x","4","90","10","4","50","50","female","53","correct","I felt that it could go either way so there is a 50 percent chance for each neighborhood to be selected. "
"335","wogo35yzsof","L9y","L",9,"y","4","96","4","3","40","60","female","25","correct",""
"336","sx0835yzbfn","L1y","L",1,"y","3","79","21","4","58","42","female","42","correct","Not sure just went on a gut feeling."
"337","yjuu35yz3ms","L1x","L",1,"x","3","95","5","1","50","50","male","55","correct","I was thinking that I did not have enough information to choose which stock would plummet"
"338","f1yn35yzbox","G3y","G",3,"y","4","90","10","3","50","50","female","35","correct",""
"339","fqfb35yzam7","G10x","G",10,"x","3","77","23","4","3","97","female","71","correct",""
"340","x9xj35yzx88","G8y","G",8,"y","3","80","20","4","30","70","male","30","correct","It is unlikely that my friend made me two blind dates. Besides, those two women were surely there by mere coincidence. I chose that option because it was most likely, unless my friend had done everything as a joke."
"341","oele35yzmcy","L2y","L",2,"y","3","80","20","4","50","50","male","39","correct","i only had 2 options and didnt know which so 50/50"
"342","7grm35yzu5d","L8y","L",8,"y","3","69","31","3","49","51","male","38","correct",""
"343","1luz35yzjlz","G12x","G",12,"x","3","92","8","4","50","50","female","52","correct","There were two drugs and one of them might work for me."
"344","zekg35yzj19","G2x","G",2,"x","3","92","8","3","77","23","male","60","correct",""
"345","bfkd35yz9wo","G12y","G",12,"y","3","75","25","2","45","55","female","23","correct","I couldn't see any kind of difference between the drugs, all I could do was try one than the other."
"346","xnql35yz0ca","G11y","G",11,"y","4","95","5","4","50","50","female","54","correct","If it's been spotted at both then it is equally likely to be at either one."
"347","586235yzr1d","G11x","G",11,"x","3","80","20","3","50","50","male","26","correct",""
"348","u86p35yzwj2","L8x","L",8,"x","3","70","30","2","51","49","female","32","correct",""
"349","9qd835yzso7","L1x","L",1,"x","4","95","5","4","50","50","male","58","correct","it was a coin toss"
"350","knid35yz63z","G10y","G",10,"y","4","75","25","4","50","50","male","30","correct","theres only 2 results so 50 percent chance"
"351","suot35yza46","L1y","L",1,"y","3","90","10","1","50","50","male","39","correct",""
"352","3pxw35yzrgd","L7x","L",7,"x","3","75","25","1","50","50","female","57","correct","That I did not know how many balls were each color. "
"353","d5o635yzrtn","G10x","G",10,"x","3","80","20","4","5","95","male","33","correct","Generally speaking, games in casinos are always rigged in favor of the house, otherwise casinos would quickly be put out of business. I indicated that the chances of selecting a red ball were significantly lower than selecting a yellow ball because casinos want to avoid paying out to winners as much as possible."
"354","f3og35yzxp2","G8x","G",8,"x","4","95","5","4","60","40","male","55","correct",""
"355","tj2235yz23k","G2x","G",2,"x","4","97","3","4","98","2","female","31","correct",""
"356","esv235yzxme","L11y","L",11,"y","3","96","4","3","50","50","female","32","correct","I was thinking that there was no real information to tip the scale one way or the other, so i chose 50/50."
"357","9lo435yzjhq","G5x","G",5,"x","4","89","11","3","50","50","male","22","correct",""
"358","4u4s35yzv8m","G1y","G",1,"y","3","93","7","4","50","50","male","37","correct","The chance of knowing was about a 50 50 chance. "
"359","dv0f35yznr1","G10x","G",10,"x","4","95","5","4","50","50","female","41","correct",""
"360","uzj535yzp2t","G11x","G",11,"x","3","77","23","4","50","50","male","37","correct","Since the bird will be either in X or Y, both have equal probability of having the bird given that there is no additional information available to indicate that there is a higher likelihood to find it in any one of those locations."
"361","nri435yzzd4","G5y","G",5,"y","4","95","5","3","50","50","male","19","correct","Since there's no evidence to back the success rate of any of the protocols, it seemed like a 50-50 situation to me."
"362","4zx135yz80r","L11y","L",11,"y","1","76","24","1","64","36","other","99","correct","no idea"
"363","mbgt35yzxzy","L4y","L",4,"y","4","98","2","4","51","49","male","29","correct","I was thinking about probability and possibility of getting viruses. I was thinking about how it would be impossible to tell, without additional information."
"364","xh6k35yzrjq","G6x","G",6,"x","4","100","0","4","5","95","female","39","correct",""
"365","072t35yz23m","G11x","G",11,"x","3","95","5","4","50","50","male","36","correct",""
"366","8bcy35yzve6","G4y","G",4,"y","4","100","0","2","60","40","male","52","correct",""
"367","xsm035yzgpj","L7x","L",7,"x","3","85","15","4","50","50","male","38","correct",""
"368","a20l35yzopo","G1y","G",1,"y","3","98","2","1","50","50","female","35","correct",""
"369","hnm035yzdb0","G3y","G",3,"y","2","14","86","3","53","47","other","54","incorrect",""
"370","bsin35yz4ky","L10y","L",10,"y","3","85","15","3","50","50","male","29","correct",""
"371","2yhs35yz45p","G2y","G",2,"y","3","90","10","2","50","50","female","44","correct",""
"372","153935yz8vm","L5y","L",5,"y","4","100","0","3","54","46","male","23","correct",""
"373","uucd35yz6ve","G10x","G",10,"x","4","95","5","2","1","99","male","34","correct","I feel the casino would keep the odds very much in their favor."
"374","ob6c35yzfjw","L9x","L",9,"x","3","80","20","2","55","45","male","29","correct",""
"375","zkn835yzpsi","L12x","L",12,"x","3","97","3","3","50","50","female","47","correct",""
"376","es8435yzitl","L5x","L",5,"x","4","80","20","4","56","44","male","29","correct","Not enough info on which one it can be"
"377","75fl35yzi1v","L10y","L",10,"y","1","95","5","4","50","50","male","35","correct","There was no information to suggest that one outcome was more likely than the other."
"378","p4mm35yz2bk","G10y","G",10,"y","3","85","15","2","50","50","female","35","correct","Honestly I assumed there was an equal chance of picking either ball. Had more information been provided I would have been able to be more accurate, but without any additional information I decided to go with 50% chance of either color being drawn."
"379","arb135yz4gt","G1x","G",1,"x","3","65","35","3","75","25","female","41","correct","I just made my decisions to the best of my ability with the information that was provided."
"380","gw2b35yzhos","L12x","L",12,"x","4","82","18","3","48","52","female","34","correct",""
"381","c5yf35yzto5","L7y","L",7,"y","4","90","10","4","50","50","female","47","correct",""
"382","x9ho35yz20r","L2x","L",2,"x","3","80","20","1","50","50","female","47","correct","I did not know the percentage of snakes existing in that area, so I chose 50-50 chance."
"383","zjy635yzdyj","G11y","G",11,"y","3","87","13","4","50","50","male","39","correct","I chose 50/50 since there was no additional information other than it had been spotted at both places."
"384","5zgj35yzsll","G3x","G",3,"x","3","85","15","3","60","40","male","39","correct","I was thinking that there would be some signs that would give one department more probability over the other."
"385","0cxg35yzv74","L2y","L",2,"y","3","95","5","3","50","50","female","32","correct",""
"386","i9qw35yzopi","L1y","L",1,"y","4","95","5","3","85","15","female","51","correct",""
"387","g9we35yz0kn","L5y","L",5,"y","4","90","10","2","45","55","female","42","correct",""
"388","a6uc35yzj9b","G8x","G",8,"x","0","23","77","3","23","77","male","42","correct","Think usually the less attractive person is for me. As a general rule."
"389","pctw35yzbf8","G10x","G",10,"x","3","68","32","3","67","33","female","41","correct",""
"390","3w0s35yz86i","G12y","G",12,"y","3","96","4","4","90","10","female","65","correct","I thought it was 90% probable that one drug would help and only 10% probable that the other would because I was told they each work only for certain people. So, it is almost certain that one of them would work. I gave only 90% because studies are often wrong and there is a slight chance both could work for me."
"391","ug2o35yz506","G9y","G",9,"y","3","90","10","4","50","50","female","59","correct",""
"392","ctoa35yz386","G8x","G",8,"x","2","76","24","4","47","53","female","36","correct",""
"393","uay235yz252","L1x","L",1,"x","3","85","15","3","30","70","male","38","correct","I don't think it is likely that both would plummet in value. I was thinking about how stocks that I have purchased have performed."
"394","hjp835yzoi3","G11y","G",11,"y","2","85","15","2","50","50","female","34","correct","As I was presented with two options and no direct information that would have made either more likely, I used the basic assumption that each had an equal likelihood in the absence of other knowledge."
"395","mhd635yzt99","G6x","G",6,"x","4","80","20","2","50","50","female","35","correct",""
"396","tumz35yzpix","L4x","L",4,"x","3","65","35","4","50","50","male","35","correct",""
"397","ma7a35yz2de","L11x","L",11,"x","3","80","20","4","50","50","male","31","correct",""
"398","3sg135yzxl9","L10y","L",10,"y","4","98","2","4","50","50","female","39","correct","I didn't have much information to go on so I chose a 50% chance that either branch would be closed. If I had known some of the statistics, such as the average number of customers each  bank branch gets or which branch was located in the most populated area I would have been able to make a guess that favored one branch over the other as far as the likelihood of it being closed down. "
"399","v8fr35yz3qd","L5x","L",5,"x","3","80","20","2","40","60","male","30","correct",""
"400","yc9v35yz2t6","L1x","L",1,"x","2","80","20","2","50","50","female","44","correct",""
"401","kgig35yzte8","G3x","G",3,"x","3","80","20","3","52","48","female","51","correct",""
"402","g4ck35yz9hk","L10x","L",10,"x","4","92","8","4","50","50","male","64","correct","There is no other information about the X & Y branches which I could use to determine the odds of either one being closed. As such, the only way to generally assess which one will close is to give them each a 50/50 probability."
"403","p1z735yza1f","G11x","G",11,"x","3","80","20","4","50","50","male","49","correct","I chose equal chance because there was no extra information to help choose between the two locations. I was thinking back to the first question where there was extra information that helped inform a higher likelihood."
"404","5mu835yzrbj","L1y","L",1,"y","3","80","20","4","80","20","male","41","correct",""
"405","omud35yz55g","G3y","G",3,"y","3","70","30","0","50","50","female","31","correct",""
"406","1moo35yz0zk","G3y","G",3,"y","3","90","10","4","50","50","female","33","correct","I had no way of knowing which department would be supported, so i set it at 50%"
